Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,MainPicture,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,image.started,image.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,RemText.started,RemText.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,EMPHASIZE,DE-EMPHASIZE," You are standing on a footbridge that is going over train tracks

 Below you see a car has gotten stuck on the train tracks, and a train is quickly approaching",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 10 people in the car were saved.",10,50, people in the car,Pedestrians on the bridge: 5,fbridge.jpg,055:060,,,,,,,,,,,,,,,,,0,0,0,10,,,,,0,0,0,0,,,,,,,119.65139709995128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,115.66455599991605,None,,,,,,,,,,,,,,,,,n,1.7018949000630528,109.9131672999356,None,111.64483899995685,None,109.9131672999356,None,109.9131672999356,None,109.9131672999356,None,109.9131672999356,None,109.9131672999356,None,109.9131672999356,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," There is a small group of pedestrians leaning over the footbridge

 You know that if you push the pedestrians over the bridge, they will hit the oncoming train, causing it to stop before it reaches the car",People in the car: 8,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 8 people in the car were saved.",8,35, people in the car,Pedestrians on the bridge: 2,fbridge.jpg,055:060,,,,,,,,,,,,,,,,,0,0,0,10,,,,,0,1,1,1,,,,,,,131.46090219984762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,127.468412599992,None,,,,,,,,,,,,,,,,,n,1.7736708999145776,121.66525770002045,None,123.45439389999956,None,121.66525770002045,None,121.66525770002045,None,121.66525770002045,None,121.66525770002045,None,121.66525770002045,None,121.66525770002045,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," You also know that there is some chance the people in the car will be able to escape before the train comes

 If you push the pedestrians, they will certainly fall to their deaths",People in the car: 4,"Probability the people in the car 
will be able to escape in time: 65%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 2 pedestrians lived.

The ","The 2 pedestrians died,

The 4 people in the car were saved.",4,65, people in the car,Pedestrians on the bridge: 2,fbridge.jpg,055:060,,,,,,,,,,,,,,,,,0,0,0,10,,,,,0,2,2,2,,,,,,,142.03633120004088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,138.04539959994145,None,,,,,,,,,,,,,,,,,n,0.5455028000287712,133.4698932999745,None,134.02997849998064,None,133.4698932999745,None,133.4698932999745,None,133.4698932999745,None,133.4698932999745,None,133.4698932999745,None,133.4698932999745,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," In order to ensure the people in the car will be saved, you would have to push the pedestrians now",People in the car: 6,"Probability the people in the car 
will be able to escape in time: 50%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 5 pedestrians lived.

The ","The 5 pedestrians died,

The 6 people in the car were saved.",6,35, people in the car,Pedestrians on the bridge: 5,fbridge.jpg,055:060,,,,,,,,,,,,,,,,,0,0,0,10,,,,,0,3,3,3,,,,,,,155.91489799995907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,151.92233269987628,None,,,,,,,,,,,,,,,,,n,3.8375891000032425,144.04994689999148,None,147.90828079986386,None,144.04994689999148,None,144.04994689999148,None,144.04994689999148,None,144.04994689999148,None,144.04994689999148,None,144.04994689999148,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",People in the car: 10,"Probability the people in the car 
will be able to escape in time: 35%","Plan: Push the pedestrians over, causing them to hit the train and die

Do nothing: The pedestrians will live, the people in the car have a chance of surviving","The 3 pedestrians lived.

The ","The 3 pedestrians died,

The 10 people in the car were saved.",10,35, people in the car,Pedestrians on the bridge: 3,fbridge.jpg,055:060,,,,,,,,,,,,,,,,,0,0,0,10,,,,,0,4,4,4,,,,,,,171.7281283000484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,167.73537310003303,None,,,,,,,,,,,,,,,,,n,5.766275099944323,157.9289676998742,None,163.72155010001734,None,157.9289676998742,None,157.9289676998742,None,157.9289676998742,None,157.9289676998742,None,157.9289676998742,None,157.9289676998742,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,055:060,,,,,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," There has been a bomb planted in two buildings, drawing from the same set of wires

 You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,0,0,0,0,,,,,,,,,,,173.72987479995936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.77186760003679,None,space,2.867303399834782,175.77186760003679,None,175.77186760003679,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

 The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.6866478000302,None,space,1.2805021998938173,178.6866478000302,None,178.6866478000302,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

 If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0028675000649,None,space,0.5243539998773485,180.0028675000649,None,180.0028675000649,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE, You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5661192999687,None,space,0.6180223999544978,180.5661192999687,None,180.5661192999687,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.21545349992812,None,space,0.3996482000220567,181.21545349992812,None,181.21545349992812,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," There has been a bomb planted in two buildings, drawing from the same set of wires

 You are a citizen who has found the wires that control the bomb",Workers in the office building: 4,"Probability the Bomb Squad
will arrive in time: 35%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 4 workers in the office building were saved.",4,65, workers in the office building,"Family members in 
the home: 3",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,,,,,0,0,0,0,,,,,,,193.04524399992079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,189.05885649984702,None,,,,,,,,,,,,,,,,,n,1.3403508001938462,183.68276999983937,None,185.0389586999081,None,183.68276999983937,None,183.68276999983937,None,183.68276999983937,None,183.68276999983937,None,183.68276999983937,None,183.68276999983937,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," The red wire is connected to the bomb in a small office building, which will explode if that wire is cut

 The green wire is connected to the bomb in a small home, where a family lives, and will explode if that wire is cut ",Workers in the office building: 7,"Probability the Bomb Squad
will arrive in time: 65%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 7 workers in the office building were saved.",7,65, workers in the office building,"Family members in 
the home: 4",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,,,,,0,1,1,1,,,,,,,207.74094599997625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,203.75663789990358,None,,,,,,,,,,,,,,,,,n,4.648243099916726,195.06313070002943,None,199.73464159993455,None,195.06313070002943,None,195.06313070002943,None,195.06313070002943,None,195.06313070002943,None,195.06313070002943,None,195.06313070002943,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," The time on the bomb is counting down, but you have time to cut one of the wires without risking harm to yourself 

 If you do nothing, the bomb will default to blow up the office building  ",Workers in the office building: 13,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 4 family members lived.

The ","The 4 family members in the home died. 

The 13 workers in the office building were saved.",13,35, workers in the office building,"Family members in 
the home: 4",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,,,,,0,2,2,2,,,,,,,221.85264619998634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8640638999641,None,,,,,,,,,,,,,,,,,n,4.073547899955884,209.74958149995655,None,213.84632580005564,None,209.74958149995655,None,209.74958149995655,None,209.74958149995655,None,209.74958149995655,None,209.74958149995655,None,209.74958149995655,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE, You also know that there is a chance that the Bomb Squad will arrive in time to completely disable the bomb,Workers in the office building: 9,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 3 family members lived.

The ","The 3 family members in the home died. 

The 9 workers in the office building were saved.",9,35, workers in the office building,"Family members in 
the home: 3",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,,,,,0,3,3,3,,,,,,,233.7288653999567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,229.73995630000718,None,,,,,,,,,,,,,,,,,n,1.8364263998810202,223.85879389988258,None,225.72258830000646,None,223.85879389988258,None,223.85879389988258,None,223.85879389988258,None,223.85879389988258,None,223.85879389988258,None,223.85879389988258,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ",Workers in the office building: 6,"Probability the Bomb Squad
will arrive in time: 50%","Plan: Cut the green wire, blowing up the family in the home

Do nothing: The family will live, the office workers have a chance of surviving if the Bomb Squad comes ","The 2 family members lived.

The ","The 2 family members in the home died. 

The 6 workers in the office building were saved.",6,50, workers in the office building,"Family members in 
the home: 2",bomb.jpg,030:035,,,,,,,,,,,,,,,,,0,1,1,5,,,,,0,4,4,4,,,,,,,247.20711019984446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,243.21946449996904,None,,,,,,,,,,,,,,,,,n,3.447155100060627,235.7360733000096,None,239.20080829993822,None,235.7360733000096,None,235.7360733000096,None,235.7360733000096,None,235.7360733000096,None,235.7360733000096,None,235.7360733000096,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,030:035,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," There is a group of ice fishermen towards the south side of a large frozen lake

 A group of scientists are on the north side of the lake drilling ice cores","Scientists at the 
north end of lake: 6","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 3 fishermen on the south end lived.

The ","The 3 fishermen on the south end died.

The 6 scientists on the north end were saved.",6,35, scientists at the north end of the lake,Fishermen on the south end: 3,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,0,0,0,0,,,,,,,,,,,249.2088595998939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.26602089987136,None,space,1.725600800011307,251.26602089987136,None,251.26602089987136,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,"The scientists sent out a distress call because the ice around them started to shatter and they have fallen into the freezing water

 You are an emergency worker who has been called to rescue the scientists","Scientists at the 
north end of lake: 14","Probability scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 14 scientists on the north end were saved.",14,50, scientists at the north end of the lake,Fishermen on the south end: 7,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0563489999622,None,space,0.3351036000531167,253.0563489999622,None,253.0563489999622,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," To reach the scientists in time, you would need to drive a vehicle across the ice, past the fishermen","Scientists at the 
north end of lake: 5","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 5 scientists on the north end were saved.",5,50, scientists at the north end of the lake,Fishermen on the south end: 2,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.45032519986853,None,space,0.5968386998865753,253.45032519986853,None,253.45032519986853,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," If you do this, the weight of the vehicle would cause the ice to crack around the fishermen, causing them to fall into the water and die from the cold

 You also know that there is a chance that the scientists may be able to climb out of the freezing water before going into shock and dying","Scientists at the 
north end of lake: 7","Probability scientists will
get out of the water: 65%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 7 scientists on the north end were saved.",7,35, scientists at the north end of the lake,Fishermen on the south end: 2,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.11327539989725,None,space,0.49404650018550456,254.11327539989725,None,254.11327539989725,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ","Scientists at the 
north end of lake: 9","Probability  scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 9 scientists on the north end were saved.",9,65, scientists at the north end of the lake,Fishermen on the south end: 7,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.66823219996877,None,space,0.4190020998939872,254.66823219996877,None,254.66823219996877,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," There is a group of ice fishermen towards the south side of a large frozen lake

 A group of scientists are on the north side of the lake drilling ice cores","Scientists at the 
north end of lake: 6","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 3 fishermen on the south end lived.

The ","The 3 fishermen on the south end died.

The 6 scientists on the north end were saved.",6,35, scientists at the north end of the lake,Fishermen on the south end: 3,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,,,,,0,0,0,0,,,,,,,281.8358493000269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,277.85217159986496,None,,,,,,,,,,,,,,,,,n,16.616115999873728,257.1912316000089,None,273.82918039988726,None,257.1912316000089,None,257.1912316000089,None,257.1912316000089,None,257.1912316000089,None,257.1912316000089,None,257.1912316000089,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,"The scientists sent out a distress call because the ice around them started to shatter and they have fallen into the freezing water

 You are an emergency worker who has been called to rescue the scientists","Scientists at the 
north end of lake: 14","Probability scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 14 scientists on the north end were saved.",14,50, scientists at the north end of the lake,Fishermen on the south end: 7,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,,,,,0,1,1,1,,,,,,,295.88113870006055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,291.8948747999966,None,,,,,,,,,,,,,,,,,n,4.003875099821016,283.85217930004,None,287.8740935998503,None,283.85217930004,None,283.85217930004,None,283.85217930004,None,283.85217930004,None,283.85217930004,None,283.85217930004,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," To reach the scientists in time, you would need to drive a vehicle across the ice, past the fishermen","Scientists at the 
north end of lake: 5","Probability scientists will
get out of the water: 35%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 5 scientists on the north end were saved.",5,50, scientists at the north end of the lake,Fishermen on the south end: 2,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,,,,,0,2,2,2,,,,,,,311.6942400999833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,307.70830249995925,None,,,,,,,,,,,,,,,,,n,5.7684543000068516,297.894723800011,None,303.6876155999489,None,297.894723800011,None,297.894723800011,None,297.894723800011,None,297.894723800011,None,297.894723800011,None,297.894723800011,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE," If you do this, the weight of the vehicle would cause the ice to crack around the fishermen, causing them to fall into the water and die from the cold

 You also know that there is a chance that the scientists may be able to climb out of the freezing water before going into shock and dying","Scientists at the 
north end of lake: 7","Probability scientists will
get out of the water: 65%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 2 fishermen on the south end lived.

The ","The 2 fishermen on the south end died.

The 7 scientists on the north end were saved.",7,35, scientists at the north end of the lake,Fishermen on the south end: 2,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,,,,,0,3,3,3,,,,,,,322.4529436000157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,318.4680371999275,None,,,,,,,,,,,,,,,,,n,0.711696500191465,313.7037601999473,None,314.446668199962,None,313.7037601999473,None,313.7037601999473,None,313.7037601999473,None,313.7037601999473,None,313.7037601999473,None,313.7037601999473,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take. ","Scientists at the 
north end of lake: 9","Probability  scientists will
get out of the water: 50%","Plan: Drive to the scientists, causing the fishermen to fall into the water and die
Do nothing: The fishermen will live,  the scientists may get out of the water in time","The 7 fishermen on the south end lived.

The ","The 7 fishermen on the south end died.

The 9 scientists on the north end were saved.",9,65, scientists at the north end of the lake,Fishermen on the south end: 7,lake.jpg,025:030,,,,,,,,,,,,,,,,,0,2,2,4,,,,,0,4,4,4,,,,,,,334.11333570000716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,330.1288121000398,None,,,,,,,,,,,,,,,,,n,1.611886699916795,324.4672838000115,None,326.1072003999725,None,324.4672838000115,None,324.4672838000115,None,324.4672838000115,None,324.4672838000115,None,324.4672838000115,None,324.4672838000115,None,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,,025:030,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,DE-EMPHASIZE,EMPHASIZE,"There is a live wire dangling from an electric pole

 There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 9",pool.jpg,045:050,,,,,,,,,,,,,,,,,0,3,3,8,0,0,0,0,,,,,,,,,,,336.11506109987386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.1492573998403,None,space,3.162700799992308,338.1492573998403,None,338.1492573998403,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
,,DE-EMPHASIZE,EMPHASIZE,"There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",pool.jpg,045:050,,,,,,,,,,,,,,,,,0,3,3,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.34660999989137,None,space,0.31651780009269714,341.34660999989137,None,341.34660999989137,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_27_0954,MoralSRBinaryChoice,3.2.4,59.95387154480206,
