practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,CueType1,rows,CueType2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Picture,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,11.240747200001351,None,space,1.0031425000015588,11.240747200001351,None,,,,,,,3,001,2019_Nov_21_1406,EmotRegPavlovia,3.2.4,60.02274862244156,
,,,,,,,,,,,,,,,,,,12.303034200002003,14.307627100002719,14.290987300002598,None,16.313962500000343,None,,,,,,,
