CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_2.started,text_2.stopped,Iti.started,Iti.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9.799044799998228,None,space,1.6777622000008705,9.799044799998228,None,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1411,EmotRegPavlovia,3.2.4,60.166878855039144,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,11.537821199999598,13.545752300000458,13.529280099999596,None,15.534552900000563,None,23.53335149999839,None,None,None,0.0010525200013944414,None,23.53335149999839,None,28.50818739999886,None,2,001,2019_Nov_21_1411,EmotRegPavlovia,3.2.4,60.166878855039144,
