CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_2.started,text_2.stopped,Iti.started,Iti.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.7798026999989816,None,space,1.6480506000007153,6.7798026999989816,None,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1409,EmotRegPavlovia,3.2.4,60.032910040719386,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,8.478129799997987,10.47860959999889,10.47860959999889,None,12.48382849999689,None,20.49232789999951,None,None,None,0.008363249999092659,None,20.49232789999951,None,25.457719399997586,None,2,001,2019_Nov_21_1409,EmotRegPavlovia,3.2.4,60.032910040719386,
