CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,Iti.started,Iti.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7.064182499998424,None,space,2.1663300000000163,7.064182499998424,None,,,,,,,,,,,,,,,2,001,2019_Nov_21_1401,EmotRegPavlovia,3.2.4,59.957717816518254,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,9.28713919999791,11.28838899999755,11.28838899999755,None,13.30466019999949,None,21.27813199999946,None,None,None,0.014186719999997877,None,24.265775899999426,None,2,001,2019_Nov_21_1401,EmotRegPavlovia,3.2.4,59.957717816518254,
