CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_2.started,text_2.stopped,Iti.started,Iti.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,6.250487000001158,None,space,3.366603099999338,6.250487000001158,None,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,9.685833900002763,11.693690600000991,11.67714580000029,None,13.682654899999761,None,21.68399820000195,None,None,None,0.015798970005562296,None,21.68399820000195,None,26.656275299999834,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,003:0021,REACT,picnic1.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,28.661027500002092,None,36.64784970000255,41.61866960000043,None,None,0.015706489997683093,None,36.64784970000255,None,41.651942899999995,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,003:0021,REACT,frustratedpose7.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,43.65547400000287,None,51.66035280000142,56.63363240000035,None,None,0.01573809000183246,None,51.66035280000142,None,56.64989440000136,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,003:0021,REACT,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.649472900000546,None,space,38.791688299999805,58.649472900000546,None,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,baby3.jpg,,,,,,,,,0,0,0,4,0,0,0,10,,,,,,,97.46899789999952,99.4839976000003,99.46714070000235,None,101.47380520000297,None,109.47450500000195,114.44620410000061,None,None,0.015574889996059937,None,109.47450500000195,None,114.48038640000232,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,dancing1.jpg,,,,,,,,,0,0,0,4,0,1,1,17,,,,,,,,,,,116.4851441000028,None,124.47051300000021,129.44368260000192,None,None,0.01572619000216946,None,124.47051300000021,None,129.47728520000237,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,doctor3.jpg,,,,,,,,,0,0,0,4,0,2,2,7,,,,,,,,,,,131.48059590000048,None,139.482803400002,144.4539259000012,None,None,0.01568798999869614,None,139.482803400002,None,144.47020820000034,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,sad4.jpg,,,,,,,,,0,0,0,4,0,3,3,13,,,,,,,,,,,146.47484180000174,None,154.47869150000042,159.45124430000214,None,None,0.015512189998844406,None,154.47869150000042,None,159.48285100000066,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,mother2.jpg,,,,,,,,,0,0,0,4,0,4,4,11,,,,,,,,,,,161.471399500002,None,169.47631170000022,174.44502410000132,None,None,0.015657590000046184,None,169.47631170000022,None,174.4801350000016,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,picnic.jpg,,,,,,,,,0,0,0,4,0,5,5,2,,,,,,,,,,,176.48295979999966,None,184.4703453000002,189.44082809999964,None,None,0.01571599000453716,None,184.4703453000002,None,189.47440819999974,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,eating2.jpg,,,,,,,,,0,0,0,4,0,6,6,15,,,,,,,,,,,191.4780415000023,None,199.48272630000065,204.4532051999995,None,None,0.015733289994386723,None,199.48272630000065,None,204.47003200000108,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,bored.jpg,,,,,,,,,0,0,0,4,0,7,7,3,,,,,,,,,,,206.47444600000017,None,214.47856619999948,219.44914319999953,None,None,0.01564429000063683,None,214.47856619999948,None,219.4824017000028,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,guitar.jpg,,,,,,,,,0,0,0,4,0,8,8,4,,,,,,,,,,,221.48793930000102,None,229.47423730000082,234.44478750000053,None,None,0.01574328999777208,None,229.47423730000082,None,234.47894649999944,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,war3.jpg,,,,,,,,,0,0,0,4,0,9,9,16,,,,,,,,,,,236.4829862000006,None,244.46990469999946,249.44048570000086,None,None,0.015597789999446832,None,244.46990469999946,None,249.47390470000028,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,school4.jpg,,,,,,,,,0,0,0,4,0,10,10,1,,,,,,,,,,,251.47797440000068,None,259.48242820000087,264.45313250000254,None,None,0.01572599000064656,None,259.48242820000087,None,264.46984820000216,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
REGULATE,0075:93,REACT,gun.jpg,,,,,,,,,0,0,0,4,0,11,11,0,,,,,,,,,,,266.47329399999944,None,274.47869530000025,279.4490125000011,None,None,0.015700990003097104,None,274.47869530000025,None,279.4824030000018,None,,,,,,,2,001,2019_Nov_21_1427,EmotRegPavlovia,3.2.4,60.04235387695815,
