CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,7.364961500046775,None,space,1.2960534000303596,7.364961500046775,None,,,,,,,,,,,,,,,,,2,001,2019_Dec_12_1022,EmotRegPavlovia,3.2.4,61.02342386261059,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,30.706394099863246,None,10.725603099912405,15.727171699982136,15.727171699982136,None,17.71696410002187,None,25.73294120002538,None,25.73294120002538,None,None,None,0.016544199781492352,None,2,001,2019_Dec_12_1022,EmotRegPavlovia,3.2.4,61.02342386261059,
