practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,CueType,rows,CueType2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Picture,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,75.13421230000677,None,space,2.457827800011728,75.13421230000677,None,,,,,1,001,2019_Oct_21_1055,EmotRegPavlovia,3.2.4,59.76721862471677,
,,,,,,,,,,,,,,,,,,77.66379259998212,79.67168460000539,79.65551059995778,None,,,,,,,
