CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,rating.response,rating.rt,rating.started,rating.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REGULATE,0075:93,REACT,gazing4.jpg,,,,,,,,,0,0,0,4,0,9,9,6,,,,,,,220.81201380002312,None,,,,,207.82546820002608,None,215.80788400000893,220.77866140007973,215.80788400000893,None,None,None,0.0157781601883471,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,doctor3.jpg,,,,,,,,,0,0,0,4,0,10,10,7,,,,,,,235.80781120015308,None,,,,,222.8202750000637,None,230.80351400002837,235.77435180009343,230.80351400002837,None,None,None,0.015686459839344025,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,eating2.jpg,,,,,,,,,0,0,0,4,0,11,11,15,,,,,,,250.80335980001837,None,,,,,237.8172792000696,None,245.81589820003137,250.7867146001663,245.81589820003137,None,None,None,0.015719660092145205,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,war3.jpg,,,,,,,,,0,0,0,4,0,12,12,16,,,,,,,265.81592030008323,None,,,,,252.81177860009484,None,260.8117939000949,265.7824703999795,260.8117939000949,None,None,None,0.015607160050421953,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,gun.jpg,,,,,,,,,0,0,0,4,0,13,13,0,,,,,,,280.8114446999971,None,,,,,267.82406880008057,None,275.8078301001806,280.77823370019905,275.8078301001806,None,None,None,0.01578615978360176,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,Parade1.jpg,,,,,,,,,0,0,0,4,0,14,14,14,,,,,,,295.8075477001257,None,,,,,282.82012629997917,None,290.80377590004355,295.774058500072,290.80377590004355,None,None,None,0.015715760178864002,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,biking.jpg,,,,,,,,,0,0,0,4,0,15,15,8,,,,,,,310.8033660000656,None,,,,,297.81548920017667,None,305.8157573000062,310.7866784001235,305.8157573000062,None,None,None,0.01574355992488563,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,baby3.jpg,,,,,,,,,0,0,0,4,0,16,16,10,,,,,,,325.8162785000168,None,,,,,312.81182930013165,None,320.8117386000231,325.78245640010573,320.8117386000231,None,None,None,0.015773759922012687,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,picnic.jpg,,,,,,,,,0,0,0,4,0,17,17,2,,,,,,,340.8115203999914,None,,,,,327.82425800012425,None,335.8074513000902,340.77810060000047,335.8074513000902,None,None,None,0.015793659957125783,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,0075:93,REACT,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,doctor2.jpg,,,,,,,,,0,1,1,2,0,0,0,6,,,,,,,362.8131626001559,None,342.813047000207,347.81765820016153,347.8007476001512,None,349.8120345000643,None,357.8085064000916,362.7797362001147,357.8085064000916,None,None,None,0.015685760183259845,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,angry1.jpg,,,,,,,,,0,1,1,2,0,1,1,0,,,,,,,377.80894920020364,None,,,,,364.8209995001089,None,372.8045858000405,377.77524120011367,372.8045858000405,None,None,None,0.01573926000855863,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,scared.jpg,,,,,,,,,0,1,1,2,0,2,2,16,,,,,,,392.8044398999773,None,,,,,379.8170155000407,None,387.81729999999516,392.78806630009785,387.81729999999516,None,None,None,0.015788859920576215,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,band.jpg,,,,,,,,,0,1,1,2,0,3,3,8,,,,,,,407.81702780001797,None,,,,,394.81273900019005,None,402.81293950020336,407.78360250010155,402.81293950020336,None,None,None,0.015794159844517708,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,eating.jpg,,,,,,,,,0,1,1,2,0,4,4,14,,,,,,,422.81296140002087,None,,,,,409.80831320001744,None,417.80867080017924,422.77959440019913,417.80867080017924,None,None,None,0.01576255983673036,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,sadface.jpg,,,,,,,,,0,1,1,2,0,5,5,13,,,,,,,437.8085949001834,None,,,,,424.8206906002015,None,432.8045946001075,437.77546380017884,432.8045946001075,None,None,None,0.015757559798657894,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,depressed3.jpg,,,,,,,,,0,1,1,2,0,6,6,3,,,,,,,452.8045003002044,None,,,,,439.81688060006127,None,447.8169732000679,452.7878894000314,447.8169732000679,None,None,None,0.01578536001034081,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,children.jpg,,,,,,,,,0,1,1,2,0,7,7,15,,,,,,,467.8168458000291,None,,,,,454.82000060006976,None,462.81312629999593,467.78349440009333,462.81312629999593,None,None,None,0.01579245994798839,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,excited3.jpg,,,,,,,,,0,1,1,2,0,8,8,12,,,,,,,482.8127326001413,None,,,,,469.80951680010185,None,477.8085765000433,482.7793539001141,477.8085765000433,None,None,None,0.0157608597073704,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,cheerleader.jpg,,,,,,,,,0,1,1,2,0,9,9,17,,,,,,,497.80841509997845,None,,,,,484.8208867001813,None,492.8043683001306,497.7753658001311,492.8043683001306,None,None,None,0.015784259885549545,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,mother.jpg,,,,,,,,,0,1,1,2,0,10,10,11,,,,,,,512.804159300169,None,,,,,499.815769799985,None,507.8165802001022,512.7874726001173,507.8165802001022,None,None,None,0.015757859917357564,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,couple1.jpg,,,,,,,,,0,1,1,2,0,11,11,7,,,,,,,527.8167644999921,None,,,,,514.8125244001858,None,522.8126158001833,527.7832673001103,522.8126158001833,None,None,None,0.01579265994951129,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,skier.jpg,,,,,,,,,0,1,1,2,0,12,12,2,,,,,,,542.8124549000058,None,,,,,529.8249254000839,None,537.8082624000963,542.7790042001288,537.8082624000963,None,None,None,0.015790259931236506,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,school.jpg,,,,,,,,,0,1,1,2,0,13,13,4,,,,,,,557.8081358000636,None,,,,,544.8202116000466,None,552.8040118000936,557.7749228000175,552.8040118000936,None,None,None,0.015803759917616844,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,wedding.jpg,,,,,,,,,0,1,1,2,0,14,14,9,,,,,,,572.8038925000001,None,,,,,559.8155730001163,None,567.8166147000156,572.7873331001028,567.8166147000156,None,None,None,0.015727960038930178,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,face.jpg,,,,,,,,,0,1,1,2,0,15,15,5,,,,,,,587.8163779000752,None,,,,,574.8114136999939,None,582.8125098000746,587.7830927001778,582.8125098000746,None,None,None,0.015795360086485744,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,scary.jpg,,,,,,,,,0,1,1,2,0,16,16,10,,,,,,,602.8120778000448,None,,,,,589.8253780000377,None,597.8078966999892,602.7787549002096,597.8078966999892,None,None,None,0.015666860155761242,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,yoga1.jpg,,,,,,,,,0,1,1,2,0,17,17,1,,,,,,,617.808181400178,None,,,,,604.8200426001567,None,612.8036900002044,617.7748514001723,612.8036900002044,None,None,None,0.015739559894427657,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0039:0057,REGULATE,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,Shot3.jpg,,,,,,,,,0,2,2,1,0,0,0,7,,,,,,,639.8094364001881,None,619.8095518001355,624.8137425000314,624.7971183999907,None,626.8072825002018,None,634.805656200042,639.7763088999782,634.805656200042,None,None,None,0.015670059714466333,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,cold.jpg,,,,,,,,,0,2,2,1,0,1,1,6,,,,,,,654.805302800145,None,,,,,641.8178600000683,None,649.8191806999967,654.7885806001723,649.8191806999967,None,None,None,0.015706459991633892,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,baby4.jpg,,,,,,,,,0,2,2,1,0,2,2,9,,,,,,,669.8177200001664,None,,,,,656.8133300000336,None,664.8136830001604,669.7843187002,664.8136830001604,None,None,None,0.015778559958562255,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,toast.jpg,,,,,,,,,0,2,2,1,0,3,3,11,,,,,,,684.8134904000908,None,,,,,671.8103497000411,None,679.8100056999829,684.7800708999857,679.8100056999829,None,None,None,0.015797760104760528,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,hangover.jpg,,,,,,,,,0,2,2,1,0,4,4,17,,,,,,,699.8095568001736,None,,,,,686.8208271001931,None,694.8053557001986,699.7760670001153,694.8053557001986,None,None,None,0.015795660205185413,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,sad2.jpg,,,,,,,,,0,2,2,1,0,5,5,2,,,,,,,714.8052258000243,None,,,,,701.8179749001283,None,709.8178592000622,714.7886075000279,709.8178592000622,None,None,None,0.01577435969375074,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,exercise.jpg,,,,,,,,,0,2,2,1,0,6,6,13,,,,,,,729.8177516001742,None,,,,,716.8133806001861,None,724.8133659001905,729.7841337001882,724.8133659001905,None,None,None,0.015771060017868876,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,gazing2.jpg,,,,,,,,,0,2,2,1,0,7,7,4,,,,,,,744.8133704001084,None,,,,,731.8088847000618,None,739.8092720999848,744.7799548001494,739.8092720999848,None,None,None,0.015818360028788447,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,neutralface2.jpg,,,,,,,,,0,2,2,1,0,8,8,3,,,,,,,759.8090228000656,None,,,,,746.8202720000409,None,754.8050405001268,759.775785600068,754.8050405001268,None,None,None,0.015733859967440367,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,depressed.jpg,,,,,,,,,0,2,2,1,0,9,9,5,,,,,,,774.8047874001786,None,,,,,761.8168185001705,None,769.8173371001612,774.7880584001541,769.8173371001612,None,None,None,0.01565915998071432,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,happy.jpg,,,,,,,,,0,2,2,1,0,10,10,14,,,,,,,789.8173318000045,None,,,,,776.8126405000221,None,784.8132007999811,789.7840734000783,784.8132007999811,None,None,None,0.01577555970288813,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,picnic2.jpg,,,,,,,,,0,2,2,1,0,11,11,10,,,,,,,804.813139700098,None,,,,,791.8089568000287,None,799.8089573001489,804.7798459001351,799.8089573001489,None,None,None,0.015799860004335642,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,baby2.jpg,,,,,,,,,0,2,2,1,0,12,12,16,,,,,,,819.8087499001995,None,,,,,806.821154900128,None,814.8048553999979,819.7754987999797,814.8048553999979,None,None,None,0.015793259954079986,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,astronaut.jpg,,,,,,,,,0,2,2,1,0,13,13,8,,,,,,,834.8045575001743,None,,,,,821.8169035001192,None,829.817287400132,834.788075900171,829.817287400132,None,None,None,0.015762160066515207,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,rugby.jpg,,,,,,,,,0,2,2,1,0,14,14,1,,,,,,,849.8172268001363,None,,,,,836.8127048001625,None,844.8129406999797,849.7838665000163,844.8129406999797,None,None,None,0.015793559839949012,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,War1.jpg,,,,,,,,,0,2,2,1,0,15,15,12,,,,,,,864.8131101001054,None,,,,,851.808236700017,None,859.8088617001195,864.7794537001755,859.8088617001195,None,None,None,0.015736959874629974,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,skydiving.jpg,,,,,,,,,0,2,2,1,0,16,16,0,,,,,,,879.8088116000872,None,,,,,866.8210375001654,None,874.8044797000475,879.775383300148,874.8044797000475,None,None,None,0.015770259778946638,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,surgery.jpg,,,,,,,,,0,2,2,1,0,17,17,15,,,,,,,894.8045381000265,None,,,,,881.8177491000388,None,889.8172558001243,894.7877623999957,889.8172558001243,None,None,None,0.015781460097059608,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REACT,0021:0039,REGULATE,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,angry2.jpg,,,,,,,,,0,3,3,0,0,0,0,1,,,,,,,916.8058716000523,None,896.8060062001459,901.8104290000629,901.7937541001011,None,903.8060273001902,None,911.8019597001839,916.7726185000502,911.8019597001839,None,None,None,0.015721159987151623,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,camping.jpg,,,,,,,,,0,3,3,0,0,1,1,6,,,,,,,931.8016066001728,None,,,,,918.8217203000095,None,926.8142113001086,931.785114900209,926.8142113001086,None,None,None,0.015742360148578882,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,soldier3.jpg,,,,,,,,,0,3,3,0,0,2,2,13,,,,,,,946.8144491000567,None,,,,,933.810631000204,None,941.8102004001848,946.7809817001689,941.8102004001848,None,None,None,0.015777460066601634,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,baby1.jpg,,,,,,,,,0,3,3,0,0,3,3,17,,,,,,,961.8101768000051,None,,,,,948.8221805000212,None,956.8060805001296,961.7767025001813,956.8060805001296,None,None,None,0.015769860008731484,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,scared1.jpg,,,,,,,,,0,3,3,0,0,4,4,16,,,,,,,976.8061579000205,None,,,,,963.8171984001528,None,971.801701700082,976.772715800209,971.801701700082,None,None,None,0.015762259950861335,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,excited2.jpg,,,,,,,,,0,3,3,0,0,5,5,10,,,,,,,991.8016057000495,None,,,,,978.8134329000022,None,986.8140366000589,991.7850026001688,986.8140366000589,None,None,None,0.015796360094100237,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,dessert.jpg,,,,,,,,,0,3,3,0,0,6,6,14,,,,,,,1006.8140738001093,None,,,,,993.8095366000198,None,1001.8097628999967,1006.7806252001319,1001.8097628999967,None,None,None,0.015738159883767366,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,sad5.jpg,,,,,,,,,0,3,3,0,0,7,7,8,,,,,,,1021.809897800209,None,,,,,1008.8225436999928,None,1016.8054635000881,1021.7765733001288,1016.8054635000881,None,None,None,0.01579265994951129,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,sleepy.jpg,,,,,,,,,0,3,3,0,0,8,8,0,,,,,,,1036.8053506000433,None,,,,,1023.8178379000165,None,1031.8180876001716,1036.7889849001076,1031.8180876001716,None,None,None,0.015730359824374318,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,band2.jpg,,,,,,,,,0,3,3,0,0,9,9,7,,,,,,,1051.817997300066,None,,,,,1038.8136422000825,None,1046.8139079001267,1051.7847896001767,1046.8139079001267,None,None,None,0.015780359972268343,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,massage.jpg,,,,,,,,,0,3,3,0,0,10,10,3,,,,,,,1066.8139363999944,None,,,,,1053.8096342000645,None,1061.8098782000598,1066.7804064000957,1061.8098782000598,None,None,None,0.015770060010254383,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,mother4,,,,,,,,,0,3,3,0,0,11,11,9,,,,,,,1081.8100024000742,None,,,,,1068.8214911001269,None,1076.8053343000356,1081.7759968000464,1076.8053343000356,None,None,None,0.015776959946379066,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,rockclimb.jpg,,,,,,,,,0,3,3,0,0,12,12,2,,,,,,,1096.8052945001982,None,,,,,1083.8179834000766,None,1091.8182465999853,1096.7886654001195,1091.8182465999853,None,None,None,0.015760559821501374,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
REGULATE,003:0021,REACT,dancing2.jpg,,,,,,,,,0,3,3,0,0,13,13,15,,,,,,,1111.817806800129,None,,,,,1098.813949600095,None,1106.8136635001283,1111.7843600001652,1106.8136635001283,None,None,None,0.015770360128954053,None,,,,,,,2,001,2019_Dec_12_1025,EmotRegPavlovia,3.2.4,60.084454709101834,
