CueType1,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.814984499942511,None,space,4.27501569991,6.814984499942511,None,,,,,,,,,,,,,,,,,2,001,2019_Dec_12_1023,EmotRegPavlovia,3.2.4,60.0241537636382,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,33.132329100044444,None,13.151939700124785,18.153102800017223,18.153102800017223,None,20.14348109997809,None,28.1600569000002,None,28.1600569000002,None,None,None,0.01559415995143354,None,2,001,2019_Dec_12_1023,EmotRegPavlovia,3.2.4,60.0241537636382,
