CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,Iti.started,Iti.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REGULATE,003:0021,REACT,dancing2.jpg,,,,,,,,,0,0,0,0,0,13,13,15,,,,,,,,,,,211.25144150003325,None,219.2533526000334,222.23790050001116,None,None,0.01157478999812156,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,sad5.jpg,,,,,,,,,0,0,0,0,0,14,14,8,,,,,,,,,,,222.32245480001438,None,230.2445941999904,233.2322203000076,None,None,0.014378089981619269,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,sleepy.jpg,,,,,,,,,0,0,0,0,0,15,15,0,,,,,,,,,,,233.25548950000666,None,241.25403000001097,244.23975250002695,None,None,0.014302890049293637,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,happy2.jpg,,,,,,,,,0,0,0,0,0,16,16,12,,,,,,,,,,,244.2591279000044,None,252.24631790001877,255.23282570001902,None,None,0.014676789985969663,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,band2.jpg,,,,,,,,,0,0,0,0,0,17,17,7,,,,,,,,,,,255.2562863000203,None,263.2546649000142,266.2246392000234,None,None,0.014567790029104799,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,sadpose1.jpg,,,,,,,,,0,1,1,4,0,0,0,5,,,,,,,266.2577471000259,268.26028530002804,268.242797599989,None,270.25254130002577,None,278.2509449000354,281.2360510000144,None,None,0.014434090000577271,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,dancing1.jpg,,,,,,,,,0,1,1,4,0,1,1,17,,,,,,,,,,,281.2585255000158,None,289.24416020000353,292.22952059999807,None,None,0.014578590053133667,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,sad4.jpg,,,,,,,,,0,1,1,4,0,2,2,13,,,,,,,,,,,292.25721910002176,None,300.25347820000025,303.2381269999896,None,None,0.01454688998637721,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,police2.jpg,,,,,,,,,0,1,1,4,0,3,3,9,,,,,,,,,,,303.26042010000674,None,311.24620180000784,314.2305567000294,None,None,0.014577289985027164,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,school4.jpg,,,,,,,,,0,1,1,4,0,4,4,1,,,,,,,,,,,314.25260860001436,None,322.25412729999516,325.24027100001695,None,None,0.014799690048675984,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,gazing4.jpg,,,,,,,,,0,1,1,4,0,5,5,6,,,,,,,,,,,325.2627451000153,None,333.2496453000349,336.23214720003307,None,None,0.014518090058118105,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,gun.jpg,,,,,,,,,0,1,1,4,0,6,6,0,,,,,,,,,,,336.2556372000254,None,344.25614950002637,347.2420493999962,None,None,0.014263090037275106,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,biking.jpg,,,,,,,,,0,1,1,4,0,7,7,8,,,,,,,,,,,347.2638242000248,None,355.252372500021,358.23418339999625,None,None,0.015591090021189302,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,eating2.jpg,,,,,,,,,0,1,1,4,0,8,8,15,,,,,,,,,,,358.25648540002294,None,366.2583279000246,369.2281840000069,None,None,0.014695390069391578,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,parade1.jpg,,,,,,,,,0,1,1,4,0,9,9,14,,,,,,,,,,,369.2528540000203,None,377.25122929998906,380.2355245000217,None,None,0.015244390000589192,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,picnic.jpg,,,,,,,,,0,1,1,4,0,10,10,2,,,,,,,,,,,380.2616625999799,None,388.2456882999977,391.22807960002683,None,None,0.01513208996038884,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,bored.jpg,,,,,,,,,0,1,1,4,0,11,11,3,,,,,,,,,,,391.25084440002684,None,399.2516750000068,402.2380209999974,None,None,0.014402189990505576,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,mother2.jpg,,,,,,,,,0,1,1,4,0,12,12,11,,,,,,,,,,,402.260201600031,None,410.2470969000133,413.22937580000143,None,None,0.014783090038690716,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,surprise2.jpg,,,,,,,,,0,1,1,4,0,13,13,12,,,,,,,,,,,413.2521160999895,None,421.2556979000219,424.2392341999803,None,None,0.014615189982578158,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,doctor3.jpg,,,,,,,,,0,1,1,4,0,14,14,7,,,,,,,,,,,424.26069820002886,None,432.24538470001426,435.23161399998935,None,None,0.014712289965245873,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,guitar.jpg,,,,,,,,,0,1,1,4,0,15,15,4,,,,,,,,,,,435.25420309999026,None,443.2538108000299,446.2259936000337,None,None,0.01499858999159187,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,war3.jpg,,,,,,,,,0,1,1,4,0,16,16,16,,,,,,,,,,,446.2780322000035,None,454.247606799996,457.23350630002096,None,None,0.014509389991872013,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,baby3.jpg,,,,,,,,,0,1,1,4,0,17,17,10,,,,,,,,,,,457.2582723000087,None,465.257850199996,468.2414682999952,None,None,0.014417089987546206,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,0075:93,REACT,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REACT,0039:0057,REGULATE,angry1.jpg,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,468.26080139999976,470.2603071000194,470.2446428000112,None,472.25333919998957,None,480.25230360002024,483.238222200016,None,None,0.014619090070482343,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REACT,0039:0057,REGULATE,doctor2.jpg,,,,,,,,,0,2,2,2,0,1,1,6,,,,,,,,,,,483.26264560001437,None,491.24688350001816,494.21351790003246,None,None,0.014970390067901462,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REACT,0039:0057,REGULATE,yoga1.jpg,,,,,,,,,0,2,2,2,0,2,2,1,,,,,,,,,,,494.2534226999851,None,502.25292709999485,505.2419399000355,None,None,0.014533189998473972,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
