CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,Iti.started,Iti.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,34.47599469998386,None,space,2.202305199985858,34.47599469998386,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,36.7491417999845,38.75713449995965,38.740775599959306,None,40.75634899997385,None,48.73688739998033,None,1,2.429,0.008922779990825802,None,51.71789989998797,None,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,003:0021,REACT,picnic.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,53.72606179997092,None,61.70979669998633,None,3,1.981,0.011864189989864826,None,64.69630589999724,None,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,003:0021,REACT,frustratedpose7.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,66.70366229995852,None,74.70392749999883,None,6,2.464,0.010317190026398748,None,77.68984969996382,None,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,003:0021,REACT,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.69230399996741,None,space,1.6738285000319593,79.69230399996741,None,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,sleepy2.jpg,,,,,,,,,0,0,0,3,0,0,0,0,,,,,,,81.39297230000375,83.39416329999221,83.37853439996252,None,85.3872198999743,None,93.40256259997841,None,3,1.915,0.012103190063498914,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,dancing.jpg,,,,,,,,,0,0,0,3,0,1,1,6,,,,,,,,,,,96.40209960000357,None,104.41208229999756,None,None,None,0.012107590038795024,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,miserable.jpg,,,,,,,,,0,0,0,3,0,2,2,8,,,,,,,,,,,107.40463339997223,None,115.40385349997086,None,7,2.535,0.015076290001161397,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
REGULATE,0057:75,REACT,baby.jpg,,,,,,,,,0,0,0,3,0,3,3,7,,,,,,,,,,,118.39685489999829,None,126.39721129997633,None,6,1.598,0.010712890012655407,None,,,,,,,,,1,001,2019_Oct_21_1131,EmotRegPavlovia,3.2.4,60.03669444146284,
