CueType1,rows,CueType2,Picture,LeftText,NeutralText,EmoType,RightText,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,10.00568180019036,None,space,1.4324016999453306,10.00568180019036,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,003:0021,REACT,musician.jpg,Negative,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,31.484933299943805,None,13.503003700170666,16.50580110028386,16.489664600230753,None,18.499480200000107,None,26.50791859999299,None,26.50791859999299,None,None,None,0.002713940106332302,None,26.50791859999299,None,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,003:0021,REACT,angry1.jpg,Negative,Neutral,Negative,Neutral,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,46.48066460015252,None,,,,,33.48985270038247,None,41.4766351999715,46.447257600259036,41.4766351999715,None,None,None,0.01580672012642026,None,41.4766351999715,None,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,003:0021,REACT,biking.jpg,Negative,Neutral,Neutral,Neutral,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,61.476535400375724,None,,,,,48.484958100132644,None,56.48899060022086,61.459711000323296,56.48899060022086,None,None,None,0.0157703198492527,None,56.48899060022086,None,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,003:0021,REACT,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.47829360002652,None,space,1.5759427999146283,63.47829360002652,None,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,0057:75,REACT,Shot3.jpg,Negative,Neutral,Negative,Neutral,,,,,,,,,0,0,0,3,0,0,0,4,,,,,,,85.09613940026611,None,67.08294750005007,70.0837346999906,70.06693640025333,None,72.08394840033725,None,80.09192780032754,85.06274980027229,80.09192780032754,None,None,None,0.01566481962800026,None,80.09192780032754,None,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,0057:75,REACT,depressed2.jpg,Negative,Neutral,Negative,Neutral,,,,,,,,,0,0,0,3,0,1,1,17,,,,,,,100.09177000029013,None,,,,,87.10238520009443,None,95.08734500035644,100.07520080031827,95.08734500035644,None,None,None,0.012851519975811243,None,95.08734500035644,None,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,0057:75,REACT,soldier3.jpg,Negative,Neutral,Negative,Neutral,,,,,,,,,0,0,0,3,0,2,2,5,,,,,,,115.08717360021546,None,,,,,102.09962749993429,None,110.10013400018215,115.07084739999846,110.10013400018215,None,None,None,0.015779119916260242,None,110.10013400018215,None,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
REGULATE,0057:75,REACT,frustratedpose.jpg,Negative,Neutral,Negative,Neutral,,,,,,,,,0,0,0,3,0,3,3,0,,,,,,,130.10013579996303,None,,,,,117.09596340032294,None,125.09628650033846,130.0666452003643,125.09628650033846,None,None,None,0.015789019875228405,None,125.09628650033846,None,,,,,,,1,001,2019_Dec_17_1449,EmotRegPavlovia,3.2.4,60.02346917347377,
