CueType1,rows,CueType2,Picture,LeftText,NeutralText,EmoType,RightText,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,7.047223399858922,None,space,2.077629500068724,7.047223399858922,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_1629,EmotRegPavlovia,3.2.4,60.05089922215471,
REGULATE,003:0021,REACT,musician.jpg,Negative,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,,,,,,,29.16304549993947,None,11.182118699885905,14.183771299663931,14.167309399694204,None,16.18073430005461,None,24.187761399894953,None,24.187761399894953,None,None,None,0.0008989800699055195,None,24.187761399894953,None,1,001,2019_Dec_16_1629,EmotRegPavlovia,3.2.4,60.05089922215471,
