CueType1,rows,CueType2,Picture,LeftText,NeutralText,EmoType,RightText,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REGULATE,0075:93,REACT,yoga2.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,0,0,4,0,9,9,17,,,,,,,223.23996199993417,None,,,,,210.25097699998878,None,218.2339293998666,223.20743179996498,218.2339293998666,None,218.2339293998666,None,None,None,0.01565119018778205,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,school2.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,0,0,4,0,10,10,0,,,,,,,238.23280830006115,None,,,,,225.24520069989376,None,233.24524950003251,238.2159219000023,233.24524950003251,None,233.24524950003251,None,None,None,0.015758290188387036,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,swimming.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,0,0,4,0,11,11,15,,,,,,,253.23345559998415,None,,,,,240.24168580002151,None,248.24115330004133,253.2168807000853,248.24115330004133,None,248.24115330004133,None,None,None,0.015747990226373076,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,neonazi1.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,0,0,4,0,12,12,11,,,,,,,268.24188049999066,None,,,,,255.25572500005364,None,263.23771269991994,268.22582109994255,263.23771269991994,None,263.23771269991994,None,None,None,0.015539990039542317,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,police2.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,0,0,4,0,13,13,10,,,,,,,283.23673729994334,None,,,,,270.2405179000925,None,278.2506232999731,283.21998480008915,278.2506232999731,None,278.2506232999731,None,None,None,0.01525989011861384,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,sad5.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,0,0,4,0,14,14,12,,,,,,,298.2336146000307,None,,,,,285.2594977999106,None,293.2456282998901,298.21644590003416,293.2456282998901,None,293.2456282998901,None,None,None,0.015683989971876144,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,skydiving.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,0,0,4,0,15,15,14,,,,,,,313.2303247998934,None,,,,,300.250549999997,None,308.24362459988333,313.21403170004487,308.24362459988333,None,308.24362459988333,None,None,None,0.015629490138962865,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,skier.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,0,0,4,0,16,16,13,,,,,,,328.2404489000328,None,,,,,315.24770649988204,None,323.2366692000069,328.20703239995055,323.2366692000069,None,323.2366692000069,None,None,None,0.015363289741799235,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,scary.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,0,0,4,0,17,17,7,,,,,,,343.23729509999976,None,,,,,330.293928100029,None,338.23569800006226,343.2046320999507,338.23569800006226,None,338.23569800006226,None,None,None,0.014884390169754624,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,sleepy.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,1,1,3,0,0,0,12,,,,,,,363.2396221999079,None,345.2385921999812,348.24078530003317,348.22442610003054,None,350.24006500001997,None,358.2325722000096,363.2064871999901,358.2325722000096,None,358.2325722000096,None,None,None,0.015736989909783006,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,soldier1.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,1,1,15,,,,,,,378.23222919995897,None,,,,,365.24683899991214,None,373.24525739997625,378.2156154999975,373.24525739997625,None,373.24525739997625,None,None,None,0.015790189849212766,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,sadface.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,2,2,3,,,,,,,393.22848779987544,None,,,,,380.25002779997885,None,388.2427089000121,393.2122899000533,388.2427089000121,None,388.2427089000121,None,None,None,0.01563489018008113,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,Shot3.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,3,3,4,,,,,,,408.22996650007553,None,,,,,395.23848729999736,None,403.23705599992536,408.2165882999543,403.23705599992536,None,403.23705599992536,None,None,None,0.01557178981602192,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,gazing5.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,1,1,3,0,4,4,8,,,,,,,423.2365842999425,None,,,,,410.2457892000675,None,418.23283339990303,423.2042827999685,418.23283339990303,None,418.23283339990303,None,None,None,0.01572179002687335,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,depressed2.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,5,5,17,,,,,,,438.23230169992894,None,,,,,425.28330129990354,None,433.24676040001214,438.2153557999991,433.24676040001214,None,433.24676040001214,None,None,None,0.015614989679306746,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,guitar.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,1,1,3,0,6,6,9,,,,,,,453.24482579994947,None,,,,,440.2405465999618,None,448.240750500001,453.2109819999896,448.240750500001,None,448.240750500001,None,None,None,0.015774690080434084,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,sad1.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,7,7,2,,,,,,,466.1554819000885,None,,,,,455.2404591999948,None,463.2358428000007,None,463.2358428000007,None,463.2358428000007,None,5,2.904,0.015646690037101507,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,soldier3.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,8,8,5,,,,,,,483.2360378000885,None,,,,,468.1650398999918,None,476.1647030999884,481.1520714999642,476.1647030999884,481.16869849991053,476.1647030999884,481.16869849991053,None,None,0.010227189864963293,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,frustratedpose.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,9,9,0,,,,,,,498.23173899995163,None,,,,,485.2448970999103,None,493.24489780003205,498.2152221999131,493.24489780003205,None,493.24489780003205,None,None,None,0.01566688995808363,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,War2.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,10,10,6,,,,,,,511.2761597998906,None,,,,,500.24020519992337,None,508.2406484000385,None,508.2406484000385,None,508.2406484000385,None,4,3.018,0.015213390113785863,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,scared2.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,11,11,7,,,,,,,523.4695923000108,None,,,,,513.2857836999465,None,521.3024083999917,None,521.3024083999917,None,521.3024083999917,None,3,2.146,0.009537489851936698,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,surgery.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,12,12,13,,,,,,,536.9308060999028,None,,,,,525.4826988999266,None,533.4953079000115,None,533.4953079000115,None,533.4953079000115,None,3,3.416,0.010755989933386445,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,school.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,1,1,3,0,13,13,11,,,,,,,552.1101426000241,None,,,,,538.9403973999433,None,546.939591200091,551.926562699955,546.939591200091,551.944261000026,546.939591200091,551.944261000026,2,5.149,0.010905290022492409,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,raft.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,1,1,3,0,14,14,16,,,,,,,573.2445835000835,None,,,,,554.1241259998642,None,562.1343795999419,567.1059363998938,562.1343795999419,567.1392220999114,562.1343795999419,567.1392220999114,None,None,0.01048418995924294,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,yoga1.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,1,1,3,0,15,15,14,,,,,,,586.4554415999446,None,,,,,575.2362168000545,None,583.2358991000801,None,583.2358991000801,None,583.2358991000801,None,5,3.2,0.012046089861541986,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,scared1.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,16,16,10,,,,,,,598.9658230999485,None,,,,,588.4642855999991,None,596.4642590000294,None,596.4642590000294,None,596.4642590000294,None,5,2.48,0.009753589751198888,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,police.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,1,1,3,0,17,17,1,,,,,,,612.9611382000148,None,,,,,600.975126999896,None,608.9907619000878,None,608.9907619000878,None,608.9907619000878,None,3,3.949,0.011128689628094435,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0057:75,REACT,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,War1.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,0,0,16,,,,,,,638.2311867000535,None,614.9771255999804,617.9818174999673,617.9650489999913,None,619.9882487000432,None,627.9905069000088,632.9768968999851,627.9905069000088,632.993773000082,627.9905069000088,632.993773000082,None,None,0.010294390143826604,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REACT,0021:0039,REGULATE,sad4.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,2,2,1,0,1,1,13,,,,,,,650.3582794000395,None,,,,,640.2396949999966,None,648.2395520999562,None,648.2395520999562,None,648.2395520999562,None,1,2.103,0.015550389885902405,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
