ImMoney,DelayMoney,DelayDays,CueType1,rows,CueType2,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,ImmedMoneyAmt.started,ImmedMoneyAmt.stopped,DelayMoneyAmt.started,DelayMoneyAmt.stopped,Immedtoday.started,Immedtoday.stopped,DelayTime.started,DelayTime.stopped,blank.started,blank.stopped,choice.rt,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
$19 ,$25 ,in 53 days,REGULATE,003:0013,REACT,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,112.23187510017306,None,,,114.25350130000152,None,2,114.25350130000152,None,114.25350130000152,None,114.25350130000152,None,114.25350130000152,None,114.25350130000152,None,114.25350130000152,115.76767970016226,2.9067787998355925,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$15 ,$35 ,in 13 days,REGULATE,003:0013,REACT,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,118.23649980011396,None,,,120.25897800014354,None,2,120.25897800014354,None,120.25897800014354,None,120.25897800014354,None,120.25897800014354,None,120.25897800014354,None,120.25897800014354,121.77269720006734,1.765323700150475,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
,,,REGULATE,003:0013,REACT,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$28 ,$30 ,in 179 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,0,0,9,,,,,,,,,,,,,130.23008240014315,None,,,132.25194200011902,None,1,132.25194200011902,None,132.25194200011902,None,132.25194200011902,None,132.25194200011902,None,132.25194200011902,None,132.25194200011902,133.76648030010983,1.3724273000843823,,,,,,,126.2305962999817,None,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$24 ,$35 ,in 29 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,1,1,7,,,,,,,,,,,,,136.23512060008943,None,,,138.25806100014597,None,2,138.25806100014597,None,138.25806100014597,None,138.25806100014597,None,138.25806100014597,None,138.25806100014597,None,138.25806100014597,139.771351700183,2.4701956000644714,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$40 ,$65 ,in 15 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,2,2,6,,,,,,,,,,,,,142.23967650020495,None,,,144.24352190014906,None,2,144.24352190014906,None,144.24352190014906,None,144.24352190014906,None,144.24352190014906,None,144.24352190014906,None,144.24352190014906,145.74297790019773,1.8927817998919636,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$11 ,$30 ,in 7 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,3,3,0,,,,,,,,,,,,,148.228095700033,None,,,150.24862960004248,None,1,150.24862960004248,None,150.24862960004248,None,150.24862960004248,None,150.24862960004248,None,150.24862960004248,None,150.24862960004248,151.74750990001485,1.2803981001488864,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$32 ,$56 ,in 14 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,4,4,8,,,,,,,,,,,,,154.2334118001163,None,,,156.2545609001536,None,2,156.2545609001536,None,156.2545609001536,None,156.2545609001536,None,156.2545609001536,None,156.2545609001536,None,156.2545609001536,157.76979940012097,1.577666400000453,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$49 ,$60 ,in 89 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,160.2386823000852,None,,,162.25789630017243,None,2,162.25789630017243,None,162.25789630017243,None,162.25789630017243,None,162.25789630017243,None,162.25789630017243,None,162.25789630017243,163.75788739998825,1.9422605000436306,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$27 ,$50 ,in 21 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,6,6,3,,,,,,,,,,,,,166.22634270018898,None,,,168.24800440017134,None,None,168.24800440017134,None,168.24800440017134,None,168.24800440017134,None,168.24800440017134,None,168.24800440017134,None,168.24800440017134,169.76264020008966,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$34 ,$35 ,in 18 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,7,7,2,,,,,,,,,,,,,172.2314540001098,None,,,174.2532212000806,None,None,174.2532212000806,None,174.2532212000806,None,174.2532212000806,None,174.2532212000806,None,174.2532212000806,None,174.2532212000806,175.7677003000863,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$39 ,$61 ,in 91 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,8,8,4,,,,,,,,,,,,,178.23630250012502,None,,,180.25769420014694,None,1,180.25769420014694,None,180.25769420014694,None,180.25769420014694,None,180.25769420014694,None,180.25769420014694,None,180.25769420014694,181.772621500073,1.7665154999122024,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$52 ,$65 ,in 119 days,REACT,0013:0023,REGULATE,,,,,0,1,1,1,0,9,9,1,,,,,,,,,,,,,184.22449930012226,None,,,186.24488600017503,None,None,186.24488600017503,None,186.24488600017503,None,186.24488600017503,None,186.24488600017503,None,186.24488600017503,None,186.24488600017503,187.7444529000204,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
,,,REACT,0013:0023,REGULATE,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$22 ,$25 ,in 136 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,0,0,5,,,,,,,,,,,,,196.2349243001081,None,,,198.25822190009058,None,None,198.25822190009058,None,198.25822190009058,None,198.25822190009058,None,198.25822190009058,None,198.25822190009058,None,198.25822190009058,199.77112540020607,,,,,,,,192.23139169998467,None,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$20 ,$55 ,in 7 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,1,1,6,,,,,,,,,,,,,202.24005750007927,None,,,204.2428848000709,None,2,204.2428848000709,None,204.2428848000709,None,204.2428848000709,None,204.2428848000709,None,204.2428848000709,None,204.2428848000709,205.7425077999942,3.0132420998997986,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$25 ,$30 ,in 80 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,2,2,1,,,,,,,,,,,,,208.2278285000939,None,,,210.25065140007064,None,None,210.25065140007064,None,210.25065140007064,None,210.25065140007064,None,210.25065140007064,None,210.25065140007064,None,210.25065140007064,211.76445880020037,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$45 ,$65 ,in 20 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,3,3,2,,,,,,,,,,,,,214.2331008000765,None,,,216.25339230010286,None,None,216.25339230010286,None,216.25339230010286,None,216.25339230010286,None,216.25339230010286,None,216.25339230010286,None,216.25339230010286,217.75247690011747,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$30 ,$52 ,in 14 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,4,4,8,,,,,,,,,,,,,220.23800100013614,None,,,222.25949860014953,None,None,222.25949860014953,None,222.25949860014953,None,222.25949860014953,None,222.25949860014953,None,222.25949860014953,None,222.25949860014953,223.7741870000027,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$42 ,$45 ,in 15 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,5,5,7,,,,,,,,,,,,,226.22609250014648,None,,,228.2460841999855,None,None,228.2460841999855,None,228.2460841999855,None,228.2460841999855,None,228.2460841999855,None,228.2460841999855,None,228.2460841999855,229.74572570016608,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$32 ,$44 ,in 30 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,6,6,4,,,,,,,,,,,,,232.23107850016095,None,,,234.28246200014837,None,None,234.28246200014837,None,234.28246200014837,None,234.28246200014837,None,234.28246200014837,None,234.28246200014837,None,234.28246200014837,235.78402290004306,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$54 ,$60 ,in 186 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,7,7,9,,,,,,,,,,,,,238.23609730019234,None,,,240.2586391000077,None,2,240.2586391000077,None,240.2586391000077,None,240.2586391000077,None,240.2586391000077,None,240.2586391000077,None,240.2586391000077,241.7724621000234,0.4855976998806,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$54 ,$60 ,in 111 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,8,8,3,,,,,,,,,,,,,244.22451590001583,None,,,246.2408737000078,None,None,246.2408737000078,None,246.2408737000078,None,246.2408737000078,None,246.2408737000078,None,246.2408737000078,None,246.2408737000078,247.74393120012246,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$34 ,$50 ,in 30 days,REACT,0023:0033,REGULATE,,,,,0,2,2,2,0,9,9,0,,,,,,,,,,,,,250.2294095000252,None,,,252.2511858001817,None,None,252.2511858001817,None,252.2511858001817,None,252.2511858001817,None,252.2511858001817,None,252.2511858001817,None,252.2511858001817,253.7657513001468,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
,,,REACT,0023:0033,REGULATE,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$20 ,$35 ,in 31 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,0,0,9,,,,,,,,,,,,,262.2393563000951,None,,,264.2454119999893,None,None,264.2454119999893,None,264.2454119999893,None,264.2454119999893,None,264.2454119999893,None,264.2454119999893,None,264.2454119999893,265.75894100009464,,,,,,,,258.23591310018674,None,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$27 ,$50 ,in 7 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,1,1,5,,,,,,,,,,,,,268.22749670012854,None,,,270.2487960001454,None,None,270.2487960001454,None,270.2487960001454,None,270.2487960001454,None,270.2487960001454,None,270.2487960001454,None,270.2487960001454,271.76401590020396,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$11 ,$30 ,in 25 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,274.23287920001894,None,,,276.25426810001954,None,None,276.25426810001954,None,276.25426810001954,None,276.25426810001954,None,276.25426810001954,None,276.25426810001954,None,276.25426810001954,277.7691947000567,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$50 ,$60 ,in 3 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,3,3,7,,,,,,,,,,,,,280.237743700156,None,,,282.25932820001617,None,None,282.25932820001617,None,282.25932820001617,None,282.25932820001617,None,282.25932820001617,None,282.25932820001617,None,282.25932820001617,283.7574552001897,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$55 ,$65 ,in 21 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,4,4,8,,,,,,,,,,,,,286.2259462000802,None,,,288.2463308000006,None,None,288.2463308000006,None,288.2463308000006,None,288.2463308000006,None,288.2463308000006,None,288.2463308000006,None,288.2463308000006,289.74553840002045,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$52 ,$65 ,in 2 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,5,5,3,,,,,,,,,,,,,292.23088730010204,None,,,294.25018850015476,None,None,294.25018850015476,None,294.25018850015476,None,294.25018850015476,None,294.25018850015476,None,294.25018850015476,None,294.25018850015476,295.7505663000047,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$34 ,$35 ,in 60 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,6,6,4,,,,,,,,,,,,,298.2359233000316,None,,,300.25864290003665,None,None,300.25864290003665,None,300.25864290003665,None,300.25864290003665,None,300.25864290003665,None,300.25864290003665,None,300.25864290003665,301.7723031002097,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$36 ,$60 ,in 16 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,7,7,6,,,,,,,,,,,,,304.22388850012794,None,,,306.2460527000949,None,None,306.2460527000949,None,306.2460527000949,None,306.2460527000949,None,306.2460527000949,None,306.2460527000949,None,306.2460527000949,307.7604389002081,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$35 ,$64 ,in 31 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,8,8,0,,,,,,,,,,,,,310.2293356000446,None,,,312.25141560006887,None,None,312.25141560006887,None,312.25141560006887,None,312.25141560006887,None,312.25141560006887,None,312.25141560006887,None,312.25141560006887,313.7654070002027,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$40 ,$55 ,in 50 days,REGULATE,0033:0043,REACT,,,,,0,3,3,3,0,9,9,1,,,,,,,,,,,,,316.2344033000991,None,,,318.2550227001775,None,None,318.2550227001775,None,318.2550227001775,None,318.2550227001775,None,318.2550227001775,None,318.2550227001775,None,318.2550227001775,319.77044160012156,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
,,,REGULATE,0033:0043,REACT,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$28 ,$30 ,in 19 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,0,0,1,,,,,,,,,,,,,328.22762810019776,None,,,330.24814280006103,None,None,330.24814280006103,None,330.24814280006103,None,330.24814280006103,None,330.24814280006103,None,330.24814280006103,None,330.24814280006103,331.76378360018134,,,,,,,,324.2240792000666,None,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$20 ,$55 ,in 15 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,1,1,8,,,,,,,,,,,,,334.2324765000958,None,,,336.255024000071,None,None,336.255024000071,None,336.255024000071,None,336.255024000071,None,336.255024000071,None,336.255024000071,None,336.255024000071,337.76870140014216,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$25 ,$30 ,in 24 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,2,2,3,,,,,,,,,,,,,340.23757270001806,None,,,342.26057350006886,None,None,342.26057350006886,None,342.26057350006886,None,342.26057350006886,None,342.26057350006886,None,342.26057350006886,None,342.26057350006886,343.7737679001875,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$54 ,$60 ,in 90 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,3,3,5,,,,,,,,,,,,,346.2257807001006,None,,,348.2480818000622,None,None,348.2480818000622,None,348.2480818000622,None,348.2480818000622,None,348.2480818000622,None,348.2480818000622,None,348.2480818000622,349.762061299989,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$32 ,$44 ,in 45 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,4,4,6,,,,,,,,,,,,,352.2307710000314,None,,,354.2512352000922,None,None,354.2512352000922,None,354.2512352000922,None,354.2512352000922,None,354.2512352000922,None,354.2512352000922,None,354.2512352000922,355.75043250015005,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$33 ,$55 ,in 5 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,5,5,0,,,,,,,,,,,,,358.2355345999822,None,,,360.25546760018915,None,None,360.25546760018915,None,360.25546760018915,None,360.25546760018915,None,360.25546760018915,None,360.25546760018915,None,360.25546760018915,361.7556778001599,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$38 ,$52 ,in 14 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,6,6,2,,,,,,,,,,,,,364.22393530001864,None,,,366.24624370015226,None,None,366.24624370015226,None,366.24624370015226,None,366.24624370015226,None,366.24624370015226,None,366.24624370015226,None,366.24624370015226,367.7603472000919,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$40 ,$65 ,in 7 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,7,7,4,,,,,,,,,,,,,370.22905550012365,None,,,372.2497339001857,None,None,372.2497339001857,None,372.2497339001857,None,372.2497339001857,None,372.2497339001857,None,372.2497339001857,None,372.2497339001857,373.765338400146,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$22 ,$25 ,in 18 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,8,8,7,,,,,,,,,,,,,376.2340228999965,None,,,378.2564035002142,None,None,378.2564035002142,None,378.2564035002142,None,378.2564035002142,None,378.2564035002142,None,378.2564035002142,None,378.2564035002142,379.7701815001201,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$41 ,$45 ,in 4 days,REACT,0043:0053,REGULATE,,,,,0,4,4,4,0,9,9,9,,,,,,,,,,,,,382.2389584002085,None,,,384.2422416000627,None,None,384.2422416000627,None,384.2422416000627,None,384.2422416000627,None,384.2422416000627,None,384.2422416000627,None,384.2422416000627,385.74198739998974,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
,,,REACT,0043:0053,REGULATE,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$35 ,$64 ,in 21 days,REGULATE,0053:0063,REACT,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,394.2322811000049,None,,,396.2542189999949,None,None,396.2542189999949,None,396.2542189999949,None,396.2542189999949,None,396.2542189999949,None,396.2542189999949,None,396.2542189999949,397.7685259000864,,,,,,,,390.2290481000673,None,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$40 ,$55 ,in 25 days,REGULATE,0053:0063,REACT,,,,,0,5,5,5,0,1,1,1,,,,,,,,,,,,,400.23730160016567,None,,,402.25834230007604,None,None,402.25834230007604,None,402.25834230007604,None,402.25834230007604,None,402.25834230007604,None,402.25834230007604,None,402.25834230007604,403.77346430020407,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
