word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inputText,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,001,2019_Sep_09_1343,DictatorGame,3.0.7,59.66519472610244,
Please indicate how many dollars you will give the Receiver:   ,0,0,0,0,5,"['5', 'return']","[13.926956799987238, 15.208794699981809]",,001,2019_Sep_09_1343,DictatorGame,3.0.7,59.66519472610244,
