textTypePlayer1,CueType,textTypePlayer2,Player1,Player2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,typedWord,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,12.79060439998284,None,space,5.975483300164342,12.79060439998284,None,,,,,,,,,,,,,,,,,,,,,,2,2,2019_Nov_14_1110,TrustGame,3.2.4,60.21089467336079,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,8,0,0,0,0,,,,,,,,,,,25.796420899918303,None,20.811157200019807,None,27.887267000041902,None,27.887267000041902,None,27.887267000041902,None,return,5.214717000024393,27.887267000041902,None,27.887267000041902,None,4,27.887267000041902,None,33.16312829987146,None,2,2,2019_Nov_14_1110,TrustGame,3.2.4,60.21089467336079,
,,,,,,,,,,,,,,,,,,,,,,,37.13924209983088,None,,,,,,,,,,,,,,,,,,,,,,,,,,
