CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,Rows,CueType1,CueType2,randomlyPresent.thisRepN,randomlyPresent.thisTrialN,randomlyPresent.thisN,randomlyPresent.thisIndex,selectBlock,Player1Var,Player2Var,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,6.906463599996641,None,space,0.9866359999869019,6.906463599996641,None,,,,,2,001,2019_Nov_18_0928,TrustGame,3.2.4,59.74018992473177,
,,,,,,,,,,,,,,,,,,,,15.915576500119641,None,9.935222700005397,None,,,,,,,
