Rows,CueType1,CueType2,selectBlock,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomPresent.thisRepN,randomPresent.thisTrialN,randomPresent.thisN,randomPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,7.182235799962655,None,space,1.3632761999033391,7.182235799962655,None,,,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,2,0,0,0,5,0,0,0,5,,,,,,,,,,,,,,,17.573000999866053,None,10.588797200005502,None,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,2,0,0,0,5,0,1,1,8,,,,,,,,,,,,,,,19.574447500053793,19.574447500053793,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,1,0,0,0,5,0,2,2,0,,,,,,,,,,,,,,,21.575750699965283,21.575750699965283,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,2,0,0,0,5,0,3,3,7,,,,,,,,,,,,,,,23.57761639985256,23.57761639985256,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,2,0,0,0,5,0,4,4,4,,,,,,,,,,,,,,,25.5795626998879,25.5795626998879,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,1,0,0,0,5,0,5,5,2,,,,,,,,,,,,,,,27.580990799935535,27.580990799935535,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,2,0,0,0,5,0,6,6,6,,,,,,,,,,,,,,,29.582680999999866,29.582680999999866,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,1,0,0,0,5,0,7,7,1,,,,,,,,,,,,,,,31.58431759988889,31.58431759988889,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,1,0,0,0,5,0,8,8,3,,,,,,,,,,,,,,,33.58611489995383,33.58611489995383,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
051:060,REACT,REGULATE,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
011:020,REACT,REGULATE,2,0,1,1,1,0,0,0,4,,,,,,,,,,,,,,,44.595441499957815,None,37.5892439999152,None,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
011:020,REACT,REGULATE,2,0,1,1,1,0,1,1,6,,,,,,,,,,,,,,,46.59682850004174,46.59682850004174,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
011:020,REACT,REGULATE,2,0,1,1,1,0,2,2,0,,,,,,,,,,,,,,,48.5984177000355,48.5984177000355,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
011:020,REACT,REGULATE,1,0,1,1,1,0,3,3,2,,,,,,,,,,,,,,,50.60010959999636,50.60010959999636,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
011:020,REACT,REGULATE,1,0,1,1,1,0,4,4,8,,,,,,,,,,,,,,,52.60185700003058,52.60185700003058,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
011:020,REACT,REGULATE,1,0,1,1,1,0,5,5,1,,,,,,,,,,,,,,,54.603215999901295,54.603215999901295,,,2,001,2019_Nov_14_1249,TrustGame,3.2.4,59.77933055519944,
