Rows,CueType1,CueType2,nReps1,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomPresent.thisRepN,randomPresent.thisTrialN,randomPresent.thisN,randomPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,typedWord,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,text_2.started,text_2.stopped,enter2.keys,enter2.rt,enter2.started,enter2.stopped,dollar2.started,dollar2.stopped,Feedback2.started,Feedback2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.478294899920002,None,space,1.7175634000450373,7.478294899920002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,0,0,3,,,,,,,,,,,,,,,19.230916500091553,None,11.24874350009486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,1,1,4,,,,,,,,,,,,,,,21.23287079995498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,2,2,1,0,0,0,0,,,,,,,,,,,,,,,23.328775299945846,None,23.328775299945846,None,23.328775299945846,None,return,3.019273899961263,23.328775299945846,None,23.328775299945846,None,3,23.328775299945846,None,26.405100000090897,None,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,2,2,1,,,,,0,0,0,0,,,,,,,31.390774799976498,None,,,,,,,,,,,,,,,4,,,,,33.42796649993397,None,33.42796649993397,None,33.42796649993397,None,33.42796649993397,None,return,2.391811199951917,33.42796649993397,None,33.42796649993397,None,35.86518769990653,None,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,7,0,0,0,0,,,,,,,,,,,,,,,40.8855202998966,None,40.8855202998966,None,40.8855202998966,None,return,1.6382140000350773,40.8855202998966,None,40.8855202998966,None,3,40.8855202998966,None,42.550338099943474,None,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,7,,,,,0,0,0,0,,,,,,,47.554440499981865,None,,,,,,,,,,,,,,,5,,,,,49.5644825999625,None,49.5644825999625,None,49.5644825999625,None,49.5644825999625,None,return,1.6472797999158502,49.5644825999625,None,49.5644825999625,None,51.26211200002581,None,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,4,4,2,,,,,,,,,,,,,,,56.26165400003083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,5,5,8,,,,,,,,,,,,,,,58.24686240009032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_15_1501,TrustGame,3.2.4,60.00063599761446,
