textTypePlayer1,CueType,textTypePlayer2,Player1,Player2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,enter.keys,enter.rt,enter.started,enter.stopped,response.started,response.stopped,Feedback.started,Feedback.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Feedback2.started,Feedback2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,6.28937689983286,None,space,1.100077899871394,6.28937689983286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_13_1710,TrustGame,3.2.4,59.99329276863754,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,4,0,0,0,0,,,,,,,,,,,7.450681200018153,None,12.491892899852246,None,12.491892899852246,None,12.491892899852246,None,"['2', '1', '2', '3', '4']","[2.7216306999325752, 5.2338027998339385, 5.569701399886981, 5.841697199968621, 6.129763999953866]",12.491892899852246,None,return,7.93611910007894,12.491892899852246,None,12.491892899852246,None,20.49088229984045,None,,,,,,,,,,,,,,,,,2,001,2019_Nov_13_1710,TrustGame,3.2.4,59.99329276863754,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.525524100055918,None,24.525524100055918,None,24.525524100055918,None,"['2', '1', '2', '3', '4', '5']","[2.11196959996596, 2.640311300056055, 2.8800598999951035, 3.1679730999749154, 3.472911699907854, 4.079992299899459]",24.525524100055918,None,return,7.854748900048435,24.525524100055918,None,32.422495499951765,None,2,001,2019_Nov_13_1710,TrustGame,3.2.4,59.99329276863754,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_13_1710,TrustGame,3.2.4,59.99329276863754,
