CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,Rows,CueType1,CueType2,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.339722199831158,None,space,0.8457305999472737,6.339722199831158,None,,,,,1,001,2019_Nov_14_1218,TrustGame,3.2.4,60.0098535951857,
,,,,,,,,,,,,,14.206147599965334,None,9.22327349986881,None,,,,,,,
