textTypePlayer1,CueType,textTypePlayer2,Player1,Player2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,typedWord,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,6.851562400115654,None,space,1.5003712000325322,6.851562400115654,None,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_14_1103,TrustGame,3.2.4,59.933928863991206,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,1patterns.png,3pattern.png,0,0,0,6,0,0,0,0,,,,,,,8.412283699959517,None,13.476791700115427,None,13.476791700115427,None,13.476791700115427,None,return,2.491390800103545,13.476791700115427,None,13.476791700115427,None,3,13.476791700115427,None,16.055999600095674,None,2,001,2019_Nov_14_1103,TrustGame,3.2.4,59.933928863991206,
