textTypePlayer1,CueType,textTypePlayer2,Player1,Player2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,typedWord,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,6.584809000138193,None,space,0.9293597999494523,6.584809000138193,None,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1055,TrustGame,3.2.4,60.0949259402473,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,1patterns.png,3pattern.png,0,0,0,0,0,0,0,0,,,,,,,7.568347400054336,None,12.63116759993136,None,12.63116759993136,None,12.63116759993136,None,return,4.131079100072384,12.63116759993136,None,12.63116759993136,None,4,12.63116759993136,None,16.836693200049922,None,1,001,2019_Nov_14_1055,TrustGame,3.2.4,60.0949259402473,
,,,,,,,,,,,,,,,,,,,,,20.811383499996737,None,20.811383499996737,None,20.811383499996737,None,return,8.046939799794927,20.811383499996737,None,20.811383499996737,None,3,20.811383499996737,None,,,,,,,,,
