textTypePlayer1,CueType,textTypePlayer2,Player1,Player2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,typedWord,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,7.3924825000576675,None,space,1.0982256999704987,7.3924825000576675,None,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1133,TrustGame,3.2.4,60.02880185674705,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,2,0,0,0,0,,,,,,,,,,,15.524501499952748,None,10.54075779998675,None,17.64011609996669,None,17.64011609996669,None,17.64011609996669,None,return,4.0347180000972,17.64011609996669,None,17.64011609996669,None,2,17.64011609996669,None,21.72887450014241,None,1,001,2019_Nov_14_1133,TrustGame,3.2.4,60.02880185674705,
,,,,,,,,,,,,,,,,,,,,,,,26.21674730000086,None,,,,,,,,,,,,,,,,,,,,,,,,,,
