textTypePlayer1,CueType,textTypePlayer2,Player1,Player2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,enter.keys,enter.rt,enter.started,enter.stopped,response.started,response.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,9.707689100177959,None,space,1.5360350001137704,9.707689100177959,None,,,,,,,,,,,,,,,,,,,,,3,001,2019_Nov_13_1720,TrustGame,3.2.4,59.840787544756495,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,1patterns.png,3pattern.png,0,0,0,5,0,0,0,0,,,,,,,11.294784400146455,None,16.354586699977517,None,16.354586699977517,None,16.354586699977517,None,"['2', '2', '3', '3', '4', '4', '3']","[2.121224799891934, 2.809073999989778, 2.937278299825266, 4.857330299913883, 5.001065999967977, 5.2734546000137925, 5.385221199830994]",16.354586699977517,None,return,6.583600699901581,16.354586699977517,None,16.354586699977517,None,23.002587500028312,None,3,001,2019_Nov_13_1720,TrustGame,3.2.4,59.840787544756495,
