Rows,CueType1,CueType2,nReps1,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomPresent.thisRepN,randomPresent.thisTrialN,randomPresent.thisN,randomPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,begin.keys,begin.rt,begin.started,begin.stopped,enter.keys,enter.rt,typedWord,enter2.keys,enter2.rt,Feedback2.started,Feedback2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,space,2.971148000098765,7.155199700035155,None,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,1,1,1,0,0,0,0,,,,,,,,,return,2.629122299840674,2,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,1,1,1,,,,,0,0,0,0,,,,,,,4,return,3.086489399895072,35.10446300008334,None,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,7,0,0,0,0,,,,,,,,,return,2.282846200047061,2,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,7,,,,,0,0,0,0,,,,,,,5,return,1.9352102999109775,53.41974900010973,None,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,7,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,4,4,5,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,5,5,0,0,0,0,0,,,,,,,,,return,3.0947574998717755,5,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,5,5,0,,,,,0,0,0,0,,,,,,,5,return,3.2318603999447078,73.81786900013685,None,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,5,5,0,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,6,6,4,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,7,7,8,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,8,8,6,0,0,0,0,,,,,,,,,return,2.3116444000042975,3,,,,,2,001,2019_Nov_18_0850,TrustGame,3.2.4,59.748970669030605,
