sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
$4.50 ,$7.00 ,50,0030:0040,LOOK,50%  LOSE,100%  LOSE,0,LOSE,-3.5,ad,,,,,0,3,3,3,0,1,1,5,,,,,,,,,,,,,241.58950579998782,None,,,243.61106229998404,None,2,0.9077091999934055,243.61106229998404,None,243.61106229998404,None,243.61106229998404,None,243.61106229998404,None,243.61106229998404,None,243.61106229998404,245.12573640001938,243.61106229998404,None,243.61106229998404,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.25 ,$4.50 ,50,0030:0040,LOOK,50%  LOSE,100%  LOSE,0,LOSE,-2.25,equal,,,,,0,3,3,3,0,2,2,9,,,,,,,,,,,,,247.5777742000064,None,,,249.59896500001196,None,2,0.9356916999677196,249.59896500001196,None,249.59896500001196,None,249.59896500001196,None,249.59896500001196,None,249.59896500001196,None,249.59896500001196,251.11399899999378,249.59896500001196,None,249.59896500001196,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.50 ,$3.75 ,50,0030:0040,LOOK,50%  WIN,100%  WIN,1,WIN,1.875,ad,,,,,0,3,3,3,0,3,3,4,,,,,,,,,,,,,253.58302359998925,None,,,255.60685639997246,None,2,1.2157931000110693,255.60685639997246,None,255.60685639997246,None,255.60685639997246,None,255.60685639997246,None,255.60685639997246,None,255.60685639997246,257.1191338999779,255.60685639997246,None,255.60685639997246,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$6.75 ,$8.25 ,35,0030:0040,LOOK,35%  WIN,100%  WIN,1,WIN,2.888,dis,,,,,0,3,3,3,0,4,4,2,,,,,,,,,,,,,259.58737770002335,None,,,261.6057930000243,None,2,1.3129691999638453,261.6057930000243,None,261.6057930000243,None,261.6057930000243,None,261.6057930000243,None,261.6057930000243,None,261.6057930000243,263.10818189999554,261.6057930000243,None,261.6057930000243,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$5.00 ,$6.95 ,65,0030:0040,LOOK,65%  WIN,100%  WIN,1,WIN,4.518,dis,,,,,0,3,3,3,0,5,5,0,,,,,,,,,,,,,265.5757992999861,None,,,267.59439769998426,None,2,0.9083155000116676,267.59439769998426,None,267.59439769998426,None,267.59439769998426,None,267.59439769998426,None,267.59439769998426,None,267.59439769998426,269.0955206999788,267.59439769998426,None,267.59439769998426,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.95 ,$5.00 ,35,0030:0040,LOOK,35%  LOSE,100%  LOSE,0,LOSE,-1.75,ad,,,,,0,3,3,3,0,6,6,7,,,,,,,,,,,,,271.58147440000903,None,,,273.6020978000015,None,2,1.2046543000033125,273.6020978000015,None,273.6020978000015,None,273.6020978000015,None,273.6020978000015,None,273.6020978000015,None,273.6020978000015,275.11768800002756,273.6020978000015,None,273.6020978000015,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.50 ,$4.75 ,35,0030:0040,LOOK,35%  LOSE,100%  LOSE,0,LOSE,-1.663,ad,,,,,0,3,3,3,0,7,7,6,,,,,,,,,,,,,277.58679400000256,None,,,279.6080381000065,None,1,1.8227633999777026,279.6080381000065,None,279.6080381000065,None,279.6080381000065,None,279.6080381000065,None,279.6080381000065,None,279.6080381000065,281.12290130002657,279.6080381000065,None,279.6080381000065,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$6.00 ,$8.50 ,65,0030:0040,LOOK,65%  WIN,100%  WIN,1,WIN,5.525,dis,,,,,0,3,3,3,0,8,8,3,,,,,,,,,,,,,283.59083070000634,None,,,285.6103655999759,None,2,1.1165691000060178,285.6103655999759,None,285.6103655999759,None,285.6103655999759,None,285.6103655999759,None,285.6103655999759,None,285.6103655999759,287.1116520999931,285.6103655999759,None,285.6103655999759,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$7.25 ,$10.00 ,50,0030:0040,LOOK,50%  WIN,100%  WIN,1,WIN,5.0,dis,,,,,0,3,3,3,0,9,9,1,,,,,,,,,,,,,289.57989689998794,None,,,291.5994499999797,None,2,0.7433475999860093,291.5994499999797,None,291.5994499999797,None,291.5994499999797,None,291.5994499999797,None,291.5994499999797,None,291.5994499999797,293.09918670001207,291.5994499999797,None,291.5994499999797,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
None,None,None,0030:0040,LOOK,None,None,None,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
