sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,reset.thisRepN,reset.thisTrialN,reset.thisN,reset.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,16.364642799948342,None,space,1.7394273999379948,16.364642799948342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.121643299935386,None,return,0.9586013000225648,18.121643299935386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$4.50 ,$6.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,23.12222479993943,None,21.1069382999558,None,25.15384709998034,None,2,3.2701722000492737,25.15384709998034,None,25.15384709998034,None,25.15384709998034,None,25.15384709998034,None,25.15384709998034,None,25.15384709998034,26.661918799974956,25.15384709998034,None,25.15384709998034,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$2.00 ,$4.25 ,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,29.177656900021248,None,,,31.198259599972516,None,None,,31.198259599972516,None,31.198259599972516,None,31.198259599972516,None,31.198259599972516,None,31.198259599972516,None,31.198259599972516,32.70011770003475,31.198259599972516,None,31.198259599972516,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$3.75 ,$7.50 ,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,35.20225349999964,None,,,37.23199829994701,None,2,1.4322353000752628,37.23199829994701,None,37.23199829994701,None,37.23199829994701,None,37.23199829994701,None,37.23199829994701,None,37.23199829994701,38.738347099977545,37.23199829994701,None,37.23199829994701,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.24477370001841,None,space,1.0672301000449806,41.24477370001841,None,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$4.25 ,$7.00 ,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,LOSE,-3.5,ad,,,,,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,46.361506299930625,None,,,48.38061450002715,None,2,1.4997227999847382,48.38061450002715,None,48.38061450002715,None,48.38061450002715,None,48.38061450002715,None,48.38061450002715,None,48.38061450002715,49.88080189994071,48.38061450002715,None,48.38061450002715,None,,,,,,,44.36509650002699,None,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$2.25 ,$6.75 ,35.0,000:0010,EMPHASIZE,35%  LOSE,100%  LOSE,0.0,LOSE,-2.3625,dis,,,,,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,52.34976679994725,None,,,54.3674699999392,None,1,1.4006541999988258,54.3674699999392,None,54.3674699999392,None,54.3674699999392,None,54.3674699999392,None,54.3674699999392,None,54.3674699999392,55.86952079995535,54.3674699999392,None,54.3674699999392,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$1.50 ,$3.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,0.0,WIN,1.875,ad,,,,,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,58.355048900004476,None,,,60.382507400005125,None,None,,60.382507400005125,None,60.382507400005125,None,60.382507400005125,None,60.382507400005125,None,60.382507400005125,None,60.382507400005125,61.89075949997641,60.382507400005125,None,60.382507400005125,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$3.50 ,$7.00 ,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,WIN,2.45,dis,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,64.35939969995525,None,,,66.37576159997843,None,1,1.5364993000403047,66.37576159997843,None,66.37576159997843,None,66.37576159997843,None,66.37576159997843,None,66.37576159997843,None,66.37576159997843,67.87910499994177,66.37576159997843,None,66.37576159997843,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$4.25 ,$10.75 ,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,WIN,3.7625,dis,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,70.36445759993512,None,,,72.36410589993466,None,2,1.7078986000269651,72.36410589993466,None,72.36410589993466,None,72.36410589993466,None,72.36410589993466,None,72.36410589993466,None,72.36410589993466,73.86734050000086,72.36410589993466,None,72.36410589993466,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$8.00 ,$12.50 ,65.0,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1.0,WIN,8.125,ad,,,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,76.35304299998097,None,,,78.37271349993534,None,1,1.6359492000192404,78.37271349993534,None,78.37271349993534,None,78.37271349993534,None,78.37271349993534,None,78.37271349993534,None,78.37271349993534,79.8724205000326,78.37271349993534,None,78.37271349993534,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
$2.50 ,$6.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,WIN,3.375,ad,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,82.35814819997177,None,,,84.37399480002932,None,1,1.5381561999674886,84.37399480002932,None,84.37399480002932,None,84.37399480002932,None,84.37399480002932,None,84.37399480002932,None,84.37399480002932,85.8773768999381,84.37399480002932,None,84.37399480002932,None,,,,,,,,,2,001,2019_Nov_07_1333,SlotMachTest,3.2.4,59.91263538547008,
