sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
$4.25 ,$5.50 ,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,LOSE,-2.25,dis,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,73.71883869997691,None,,,75.74115020001773,None,2,0.6378308000275865,75.74115020001773,None,75.74115020001773,None,75.74115020001773,None,75.74115020001773,None,75.74115020001773,None,75.74115020001773,77.25440810003784,75.74115020001773,None,75.74115020001773,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$1.00 ,$4.25 ,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,WIN,1.4875,ad,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,79.723090399988,None,,,81.74298249999993,None,2,1.8358881999738514,81.74298249999993,None,81.74298249999993,None,81.74298249999993,None,81.74298249999993,None,81.74298249999993,None,81.74298249999993,83.2435026000021,81.74298249999993,None,81.74298249999993,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$2.25 ,$6.75 ,35.0,000:0010,EMPHASIZE,35%  LOSE,100%  LOSE,0.0,LOSE,-2.3625,dis,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,85.71168210008182,None,,,87.7321981000714,None,2,1.3827622999669984,87.7321981000714,None,87.7321981000714,None,87.7321981000714,None,87.7321981000714,None,87.7321981000714,None,87.7321981000714,89.24768720008433,87.7321981000714,None,87.7321981000714,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$4.25 ,$7.00 ,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,LOSE,-3.5,ad,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,91.71700499998406,None,,,93.7382792000426,None,2,1.3929308999795467,93.7382792000426,None,93.7382792000426,None,93.7382792000426,None,93.7382792000426,None,93.7382792000426,None,93.7382792000426,95.25271140004043,93.7382792000426,None,93.7382792000426,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$1.50 ,$3.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,WIN,1.875,ad,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,97.72198000003118,None,,,99.74310770002194,None,2,1.2280995999462903,99.74310770002194,None,99.74310770002194,None,99.74310770002194,None,99.74310770002194,None,99.74310770002194,None,99.74310770002194,101.25769670004956,99.74310770002194,None,99.74310770002194,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$4.50 ,$6.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$1.50 ,$3.85 ,50.0,00010:0020,DE-EMPHASIZE,50%  LOSE,100%  LOSE,0.0,LOSE,-1.925,dis,,,,,0,1,1,1,0,0,0,5,,,,,,,,,,,,,107.71298509999178,None,,,109.73505540005863,None,1,1.5719450999749824,109.73505540005863,None,109.73505540005863,None,109.73505540005863,None,109.73505540005863,None,109.73505540005863,None,109.73505540005863,111.24941679998301,109.73505540005863,None,109.73505540005863,None,,,,,,,105.71977389999665,None,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$3.75 ,$5.50 ,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,WIN,3.575,dis,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,113.71836790000089,None,,,115.73892270005308,None,2,1.8719696999760345,115.73892270005308,None,115.73892270005308,None,115.73892270005308,None,115.73892270005308,None,115.73892270005308,None,115.73892270005308,117.25411039998289,115.73892270005308,None,115.73892270005308,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$2.95 ,$6.75 ,35.0,00010:0020,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,WIN,2.3625,dis,,,,,0,1,1,1,0,2,2,9,,,,,,,,,,,,,119.72302799997851,None,,,121.74622740002815,None,2,1.4327526999404654,121.74622740002815,None,121.74622740002815,None,121.74622740002815,None,121.74622740002815,None,121.74622740002815,None,121.74622740002815,123.25928070000373,121.74622740002815,None,121.74622740002815,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$2.95 ,$6.75 ,35.0,00010:0020,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,LOSE,-2.3625,ad,,,,,0,1,1,1,0,3,3,6,,,,,,,,,,,,,125.71140590007417,None,,,127.73182690003887,None,2,1.7512043999740854,127.73182690003887,None,127.73182690003887,None,127.73182690003887,None,127.73182690003887,None,127.73182690003887,None,127.73182690003887,129.24744080007076,127.73182690003887,None,127.73182690003887,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$3.25 ,$7.00 ,50.0,00010:0020,DE-EMPHASIZE,50%  WIN,100%  WIN,1.0,WIN,3.5,ad,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,131.71782979997806,None,,,133.73740980005823,None,2,1.4099104000488296,133.73740980005823,None,133.73740980005823,None,133.73740980005823,None,133.73740980005823,None,133.73740980005823,None,133.73740980005823,135.25235510000493,133.73740980005823,None,133.73740980005823,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$3.25 ,$7.00 ,50.0,00010:0020,DE-EMPHASIZE,50%  WIN,100%  WIN,1.0,WIN,3.5,ad,,,,,0,1,1,1,0,5,5,2,,,,,,,,,,,,,137.72182119998615,None,,,139.74085100006778,None,2,1.342285000020638,139.74085100006778,None,139.74085100006778,None,139.74085100006778,None,139.74085100006778,None,139.74085100006778,None,139.74085100006778,141.24101190001238,139.74085100006778,None,139.74085100006778,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$3.00 ,$4.75 ,35.0,00010:0020,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,WIN,1.663,dis,,,,,0,1,1,1,0,6,6,3,,,,,,,,,,,,,143.7261324999854,None,,,145.73181610007305,None,2,1.127588100032881,145.73181610007305,None,145.73181610007305,None,145.73181610007305,None,145.73181610007305,None,145.73181610007305,None,145.73181610007305,147.2459688000381,145.73181610007305,None,145.73181610007305,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$2.50 ,$6.75 ,35.0,00010:0020,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,WIN,2.3625,dis,,,,,0,1,1,1,0,7,7,0,,,,,,,,,,,,,149.71456170000602,None,,,151.73527710000053,None,2,3.411608000053093,151.73527710000053,None,151.73527710000053,None,151.73527710000053,None,151.73527710000053,None,151.73527710000053,None,151.73527710000053,153.25079499999993,151.73527710000053,None,151.73527710000053,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$4.25 ,$7.00 ,50.0,00010:0020,DE-EMPHASIZE,50%  LOSE,100%  LOSE,0.0,LOSE,-3.5,ad,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,155.7202090000501,None,,,157.740896500065,None,1,2.4465801999904215,157.740896500065,None,157.740896500065,None,157.740896500065,None,157.740896500065,None,157.740896500065,None,157.740896500065,159.25585409998894,157.740896500065,None,157.740896500065,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
$3.75 ,$5.50 ,65.0,00010:0020,DE-EMPHASIZE,65%  LOSE,100%  LOSE,0.0,LOSE,-3.575,ad,,,,,0,1,1,1,0,9,9,7,,,,,,,,,,,,,161.72436950006522,None,,,163.74938130006194,None,1,2.05356639996171,163.74938130006194,None,163.74938130006194,None,163.74938130006194,None,163.74938130006194,None,163.74938130006194,None,163.74938130006194,165.2606937000528,163.74938130006194,None,163.74938130006194,None,,,,,,,,,1,001,2019_Nov_11_1424,SlotMachTest,3.2.4,59.92103607125884,
