sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,10,35,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1,+,WIN,3.5,dis,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,129.98214279999956,None,,,125.99543799995445,None,1,1.9283068000804633,125.99543799995445,None,125.99543799995445,None,125.99543799995445,None,125.99543799995445,None,125.99543799995445,None,125.99543799995445,127.49709229986183,125.99543799995445,None,125.99543799995445,None,131.9863893999718,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
6,9,65,000:0010,EMPHASIZE,65%  LOSE,100%  LOSE,0,+,LOSE,~6,EQUAL,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,141.97528449981473,None,,,137.9919108999893,None,1,2.316363199846819,137.9919108999893,None,137.9919108999893,None,137.9919108999893,None,137.9919108999893,None,137.9919108999893,None,137.9919108999893,139.50689419987611,137.9919108999893,None,137.9919108999893,None,143.9808223999571,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2,6,35,000:0010,EMPHASIZE,35%  LOSE,100%  LOSE,0,+,LOSE,~2,EQUAL,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,153.98520579980686,None,,,149.99708639993332,None,1,2.152005200041458,149.99708639993332,None,149.99708639993332,None,149.99708639993332,None,149.99708639993332,None,149.99708639993332,None,149.99708639993332,151.50016599986702,149.99708639993332,None,149.99708639993332,None,155.98977219988592,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4,7,50,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0,+,LOSE,-3.5,ad,,,,,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,165.97916739992797,None,,,161.99166729999706,None,1,2.300655299797654,161.99166729999706,None,161.99166729999706,None,161.99166729999706,None,161.99166729999706,None,161.99166729999706,None,161.99166729999706,163.49335699994117,161.99166729999706,None,161.99166729999706,None,167.98403409984894,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,10,35,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1,+,WIN,3.5,ad,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,177.9718921999447,None,,,174.00264539988711,None,1,2.561219099909067,174.00264539988711,None,174.00264539988711,None,174.00264539988711,None,174.00264539988711,None,174.00264539988711,None,174.00264539988711,175.50336019997485,174.00264539988711,None,174.00264539988711,None,179.97653979994357,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2,7,50,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0,+,LOSE,3.5,dis,,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,189.98184969997965,None,,,185.99643870000727,None,1,2.9999907000456005,185.99643870000727,None,185.99643870000727,None,185.99643870000727,None,185.99643870000727,None,185.99643870000727,None,185.99643870000727,187.49671490001492,185.99643870000727,None,185.99643870000727,None,191.98641339992173,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4,6,65,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1,+,WIN,~4,EQUAL,,,,,0,1,1,1,0,0,0,8,,,,,,,,,,,,,,,,,,,206.97962050000206,None,,,202.99367209989578,None,1,2.770087700104341,202.99367209989578,None,202.99367209989578,None,202.99367209989578,None,202.99367209989578,None,202.99367209989578,None,202.99367209989578,204.49387549981475,202.99367209989578,None,202.99367209989578,None,208.98339869990014,None,,,,,,,197.97656939993612,None,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
6,12,50,00010:0020,DE-EMPHASIZE,50%  WIN,100%  WIN,1,+,WIN,6,EQUAL,,,,,0,1,1,1,0,1,1,4,,,,,,,,,,,,,,,,,,,218.97291479981504,None,,,215.0024478000123,None,2,1.8502722999546677,215.0024478000123,None,215.0024478000123,None,215.0024478000123,None,215.0024478000123,None,215.0024478000123,None,215.0024478000123,216.50394729990512,215.0024478000123,None,215.0024478000123,None,220.97753509995528,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,6,50,00010:0020,DE-EMPHASIZE,50%  LOSE,100%  LOSE,0,+,LOSE,3,EQUAL,,,,,0,1,1,1,0,2,2,5,,,,,,,,,,,,,,,,,,,230.98252779990435,None,,,226.99802659987472,None,1,2.3817445000167936,226.99802659987472,None,226.99802659987472,None,226.99802659987472,None,226.99802659987472,None,226.99802659987472,None,226.99802659987472,228.49779469985515,226.99802659987472,None,226.99802659987472,None,232.98726009996608,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
