sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WinLoss,Evgamble,riskyAdDis,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,17.009707599994726,None,space,4.546448800014332,17.009707599994726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1130,SlotMachTest,3.2.4,60.15573115210213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.576459200005047,None,return,0.3642298000631854,21.576459200005047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1130,SlotMachTest,3.2.4,60.15573115210213,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,25.980992799974047,None,23.961606599972583,None,28.011265699984506,None,1,1.785042000003159,28.011265699984506,None,28.011265699984506,None,28.011265699984506,None,28.011265699984506,None,28.011265699984506,None,28.011265699984506,29.516401099972427,28.011265699984506,None,28.011265699984506,None,,,,,,,,,2,001,2019_Nov_12_1130,SlotMachTest,3.2.4,60.15573115210213,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,32.01809579995461,None,,,34.04051920003258,None,2,1.7554459000239149,34.04051920003258,None,34.04051920003258,None,34.04051920003258,None,34.04051920003258,None,34.04051920003258,None,34.04051920003258,35.55456740001682,34.04051920003258,None,34.04051920003258,None,,,,,,,,,2,001,2019_Nov_12_1130,SlotMachTest,3.2.4,60.15573115210213,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,38.040954799973406,None,,,40.06981489993632,None,1,1.4867718999739736,40.06981489993632,None,40.06981489993632,None,40.06981489993632,None,40.06981489993632,None,40.06981489993632,None,40.06981489993632,41.575969900004566,40.06981489993632,None,40.06981489993632,None,,,,,,,,,2,001,2019_Nov_12_1130,SlotMachTest,3.2.4,60.15573115210213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.081074799993075,None,space,2.0993331000208855,44.081074799993075,None,,,2,001,2019_Nov_12_1130,SlotMachTest,3.2.4,60.15573115210213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.21655859996099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.21768100000918,None,,,,,,,
