sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,11.922238999977708,None,space,1.145124499918893,11.922238999977708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.099137600045651,None,return,0.5602472999598831,13.099137600045651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17.703377699945122,None,15.684425400104374,None,19.73016560007818,None,1,1.7856608000583947,19.73016560007818,None,19.73016560007818,None,19.73016560007818,None,19.73016560007818,None,19.73016560007818,None,19.73016560007818,21.23887520004064,19.73016560007818,None,19.73016560007818,None,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,23.741012300131842,None,,,25.761117700021714,None,1,3.018320200033486,25.761117700021714,None,25.761117700021714,None,25.761117700021714,None,25.761117700021714,None,25.761117700021714,None,25.761117700021714,27.260870800120756,25.761117700021714,None,25.761117700021714,None,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,29.76301719993353,None,,,31.793474700069055,None,2,1.609842199832201,31.793474700069055,None,31.793474700069055,None,31.793474700069055,None,31.793474700069055,None,31.793474700069055,None,31.793474700069055,33.29894359991886,31.793474700069055,None,31.793474700069055,None,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.81588020012714,None,space,4.099660800071433,35.81588020012714,None,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
3.75,5.5,65.0,000:0010,EMPHASIZE,65%  LOSE,100%  LOSE,0.0,+,LOSE,-3.575,ad,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,43.940984500106424,None,,,45.95935979997739,None,2,2.580440000165254,45.95935979997739,None,45.95935979997739,None,45.95935979997739,None,45.95935979997739,None,45.95935979997739,None,45.95935979997739,47.46113059995696,45.95935979997739,None,45.95935979997739,None,,,,,,,41.959451999980956,None,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
4.25,5.5,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,+,LOSE,-2.25,dis,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,49.94614899996668,None,,,51.96423580008559,None,None,,51.96423580008559,None,51.96423580008559,None,51.96423580008559,None,51.96423580008559,None,51.96423580008559,None,51.96423580008559,53.46555260010064,51.96423580008559,None,51.96423580008559,None,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
3.5,7.0,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,2.45,dis,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,55.951309100026265,None,,,57.963995500002056,None,1,1.375355200143531,57.963995500002056,None,57.963995500002056,None,57.963995500002056,None,57.963995500002056,None,57.963995500002056,None,57.963995500002056,59.47096180007793,57.963995500002056,None,57.963995500002056,None,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
8.0,12.5,65.0,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1.0,+,WIN,8.125,ad,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,61.955992500064895,None,,,63.961615700041875,None,1,2.001822100020945,63.961615700041875,None,63.961615700041875,None,63.961615700041875,None,63.961615700041875,None,63.961615700041875,None,63.961615700041875,65.47553179995157,63.961615700041875,None,63.961615700041875,None,,,,,,,,,2,001,2019_Nov_12_1327,SlotMachTest,3.2.4,60.10330562063792,
