sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,choice.rt,participant,session,date,expName,psychopyVersion,frameRate,
4.25,5.5,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,+,LOSE,-2.25,dis,,,,,0,0,0,0,0,6,6,5,,,,,,,,,,,,,95.65323420008644,None,,,97.66827180003747,None,None,97.66827180003747,None,97.66827180003747,None,97.66827180003747,None,97.66827180003747,None,97.66827180003747,None,97.66827180003747,99.17250060010701,97.66827180003747,None,97.66827180003747,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.5,7.0,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,2.45,dis,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,101.64137189998291,None,,,103.65554059995338,None,None,103.65554059995338,None,103.65554059995338,None,103.65554059995338,None,103.65554059995338,None,103.65554059995338,None,103.65554059995338,105.16240109992214,103.65554059995338,None,103.65554059995338,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.75,5.5,65.0,000:0010,EMPHASIZE,65%  LOSE,100%  LOSE,0.0,+,LOSE,-3.575,ad,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,107.64646310009994,None,,,109.66348069999367,None,None,109.66348069999367,None,109.66348069999367,None,109.66348069999367,None,109.66348069999367,None,109.66348069999367,None,109.66348069999367,111.16593419993296,109.66348069999367,None,109.66348069999367,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
4.25,10.75,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,3.7625,dis,,,,,0,0,0,0,0,9,9,1,,,,,,,,,,,,,113.65149730001576,None,,,115.66725390008651,None,1,115.66725390008651,None,115.66725390008651,None,115.66725390008651,None,115.66725390008651,None,115.66725390008651,None,115.66725390008651,117.17068740003742,115.66725390008651,None,115.66725390008651,None,,,,,,,,,0.5990486000664532,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.95,6.75,35.0,00010:0020,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,2.3625,dis,,,,,0,1,1,1,0,0,0,9,,,,,,,,,,,,,123.64313509990461,None,,,125.66309210006148,None,None,125.66309210006148,None,125.66309210006148,None,125.66309210006148,None,125.66309210006148,None,125.66309210006148,None,125.66309210006148,127.16255640005693,125.66309210006148,None,125.66309210006148,None,,,,,,,121.64739930001087,None,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.5,3.85,50.0,00010:0020,DE-EMPHASIZE,50%  LOSE,100%  LOSE,0.0,+,LOSE,-1.925,dis,,,,,0,1,1,1,0,1,1,5,,,,,,,,,,,,,129.64792230003513,None,,,131.66554880002514,None,None,131.66554880002514,None,131.66554880002514,None,131.66554880002514,None,131.66554880002514,None,131.66554880002514,None,131.66554880002514,133.16744329989888,131.66554880002514,None,131.66554880002514,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.0,4.75,35.0,00010:0020,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,1.663,dis,,,,,0,1,1,1,0,2,2,3,,,,,,,,,,,,,135.65288590011187,None,,,137.66634260001592,None,None,137.66634260001592,None,137.66634260001592,None,137.66634260001592,None,137.66634260001592,None,137.66634260001592,None,137.66634260001592,139.1727150999941,137.66634260001592,None,137.66634260001592,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.95,6.75,35.0,00010:0020,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,LOSE,-2.3625,ad,,,,,0,1,1,1,0,3,3,6,,,,,,,,,,,,,141.64093629992567,None,,,143.65847390005365,None,None,143.65847390005365,None,143.65847390005365,None,143.65847390005365,None,143.65847390005365,None,143.65847390005365,None,143.65847390005365,145.16103990003467,143.65847390005365,None,143.65847390005365,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
4.25,7.0,50.0,00010:0020,DE-EMPHASIZE,50%  LOSE,100%  LOSE,0.0,+,LOSE,-3.5,ad,,,,,0,1,1,1,0,4,4,8,,,,,,,,,,,,,147.6465056000743,None,,,149.6630251999013,None,None,149.6630251999013,None,149.6630251999013,None,149.6630251999013,None,149.6630251999013,None,149.6630251999013,None,149.6630251999013,151.16599410003982,149.6630251999013,None,149.6630251999013,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.25,7.0,50.0,00010:0020,DE-EMPHASIZE,50%  WIN,100%  WIN,1.0,+,WIN,3.5,ad,,,,,0,1,1,1,0,5,5,2,,,,,,,,,,,,,153.65135070006363,None,,,155.66578370006755,None,None,155.66578370006755,None,155.66578370006755,None,155.66578370006755,None,155.66578370006755,None,155.66578370006755,None,155.66578370006755,157.17133080004714,155.66578370006755,None,155.66578370006755,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.25,7.0,50.0,00010:0020,DE-EMPHASIZE,50%  WIN,100%  WIN,1.0,+,WIN,3.5,ad,,,,,0,1,1,1,0,6,6,4,,,,,,,,,,,,,159.65606969990768,None,,,161.65303350007161,None,None,161.65303350007161,None,161.65303350007161,None,161.65303350007161,None,161.65303350007161,None,161.65303350007161,None,161.65303350007161,163.15889659989625,161.65303350007161,None,161.65303350007161,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.75,5.5,65.0,00010:0020,DE-EMPHASIZE,65%  LOSE,100%  LOSE,0.0,+,LOSE,-3.575,ad,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,165.6446394000668,None,,,167.6625125000719,None,None,167.6625125000719,None,167.6625125000719,None,167.6625125000719,None,167.6625125000719,None,167.6625125000719,None,167.6625125000719,169.1638656000141,167.6625125000719,None,167.6625125000719,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.5,6.75,35.0,00010:0020,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,2.3625,dis,,,,,0,1,1,1,0,8,8,0,,,,,,,,,,,,,171.64974300004542,None,,,173.66436939989217,None,None,173.66436939989217,None,173.66436939989217,None,173.66436939989217,None,173.66436939989217,None,173.66436939989217,None,173.66436939989217,175.16913289995864,173.66436939989217,None,173.66436939989217,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.75,5.5,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,WIN,3.575,dis,,,,,0,1,1,1,0,9,9,1,,,,,,,,,,,,,177.65437330002896,None,,,179.670429199934,None,None,179.670429199934,None,179.670429199934,None,179.670429199934,None,179.670429199934,None,179.670429199934,None,179.670429199934,181.1744280999992,179.670429199934,None,179.670429199934,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.5,3.85,50.0,00020:0030,DE-EMPHASIZE,50%  WIN,100%  WIN,1.0,+,WIN,1.925,ad,,,,,0,2,2,2,0,0,0,9,,,,,,,,,,,,,187.64610589994118,None,,,189.6637844000943,None,None,189.6637844000943,None,189.6637844000943,None,189.6637844000943,None,189.6637844000943,None,189.6637844000943,None,189.6637844000943,191.1658898999449,189.6637844000943,None,189.6637844000943,None,,,,,,,185.64469509990886,None,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.75,4.0,50.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,LOSE,-2.0,dis,,,,,0,2,2,2,0,1,1,7,,,,,,,,,,,,,193.65122179989703,None,,,195.6714550999459,None,None,195.6714550999459,None,195.6714550999459,None,195.6714550999459,None,195.6714550999459,None,195.6714550999459,None,195.6714550999459,197.17106510000303,195.6714550999459,None,195.6714550999459,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.75,5.0,65.0,00020:0030,DE-EMPHASIZE,65%  LOSE,100%  LOSE,0.0,+,LOSE,-3.25,dis,,,,,0,2,2,2,0,2,2,5,,,,,,,,,,,,,199.64233299996704,None,,,201.65807550004683,None,None,201.65807550004683,None,201.65807550004683,None,201.65807550004683,None,201.65807550004683,None,201.65807550004683,None,201.65807550004683,203.15929590002634,201.65807550004683,None,201.65807550004683,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.25,6.5,35.0,00020:0030,DE-EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,2.275,ad,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,205.64431539992802,None,,,207.66245119995438,None,None,207.66245119995438,None,207.66245119995438,None,207.66245119995438,None,207.66245119995438,None,207.66245119995438,None,207.66245119995438,209.16396229993552,207.66245119995438,None,207.66245119995438,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
4.75,7.5,65.0,00020:0030,DE-EMPHASIZE,65%  LOSE,100%  LOSE,0.0,+,LOSE,-4.875,dis,,,,,0,2,2,2,0,4,4,6,,,,,,,,,,,,,211.6490692999214,None,,,213.66697919997387,None,None,213.66697919997387,None,213.66697919997387,None,213.66697919997387,None,213.66697919997387,None,213.66697919997387,None,213.66697919997387,215.16858669999056,213.66697919997387,None,213.66697919997387,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.25,4.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,LOSE,-1.575,dis,,,,,0,2,2,2,0,5,5,4,,,,,,,,,,,,,217.65387120004743,None,,,219.67382659995928,None,None,219.67382659995928,None,219.67382659995928,None,219.67382659995928,None,219.67382659995928,None,219.67382659995928,None,219.67382659995928,221.17349660000764,219.67382659995928,None,219.67382659995928,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
