CueType,rows,CueType2
REGULATE,004:0014,REACT
REACT,0014:0024,REGULATE
REACT,0024:0034,REGULATE
REGULATE,0034:0044,REACT
REGULATE,0044:0054,REACT
REACT,0054:0064,REGULATE
