CueType,rows,CueType2,Picture1,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REACT,0049:0054,REGULATE,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0016:0020,REGULATE,FoodPics\curry.jpeg,FoodPics\F4H\cookies.jpg,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,255.28446509991772,260.2890373999253,260.25564839993604,None,262.3193618999794,None,270.2804693998769,275.2517083999701,None,None,0.015711039770394564,None,270.2804693998769,None,275.28437500004657,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0016:0020,REGULATE,FoodPics\popcorn.jpg,FoodPics\F4H\donuts.jpg,,,,,,,,,0,2,2,2,0,1,1,3,,,,,,,,,,,277.3430554999504,None,285.29258959996514,290.26364069990814,None,None,0.015791239915415645,None,285.29258959996514,None,290.2801280999556,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0016:0020,REGULATE,FoodPics\cupcake.jpg,FoodPics\F4H\croissant.jpg,,,,,,,,,0,2,2,2,0,2,2,1,,,,,,,,,,,292.33993829996325,None,300.2887508000713,305.25928219989873,None,None,0.01571333990432322,None,300.2887508000713,None,305.2925541000441,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0016:0020,REGULATE,FoodPics\profiteroles.jpeg,FoodPics\F4H\donutes.jpg,,,,,,,,,0,2,2,2,0,3,3,2,,,,,,,,,,,307.3523798000533,None,315.28453639987856,320.2555412000511,None,None,0.01579384016804397,None,315.28453639987856,None,320.288479299983,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0016:0020,REGULATE,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0037:0042,REACT,None,FoodPics\F4H\strawberries2.jpg,,,,,,,,,0,3,3,6,0,0,0,0,,,,,,,322.29009680007584,327.2943947999738,327.2776478000451,None,329.3422151999548,None,337.28588209999725,342.2566460000817,None,None,0.015663839876651764,None,337.28588209999725,None,342.2900032000616,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0037:0042,REACT,None,FoodPics\F4H\sushi.jpg,,,,,,,,,0,3,3,6,0,1,1,1,,,,,,,,,,,344.348920899909,None,352.2818219999317,357.25229089986533,None,None,0.015734739834442735,None,352.2818219999317,None,357.2863241999876,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0037:0042,REACT,None,FoodPics\F4H\watermelon.jpg,,,,,,,,,0,3,3,6,0,2,2,2,,,,,,,,,,,359.3434391000774,None,367.294131899951,372.2648332999088,None,None,0.015839040046557784,None,367.294131899951,None,372.281757599907,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0037:0042,REACT,None,FoodPics\F4H\pretzelsticks.jpg,,,,,,,,,0,3,3,6,0,3,3,4,,,,,,,,,,,374.34174619987607,None,382.2901254000608,387.2608584999107,None,None,0.015740339877083898,None,382.2901254000608,None,387.2941381998826,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0037:0042,REACT,None,FoodPics\F4H\pineapple.jpg,,,,,,,,,0,3,3,6,0,4,4,3,,,,,,,,,,,389.352470099926,None,397.2856636000797,402.256501799915,None,None,0.015789239667356014,None,397.2856636000797,None,402.28977119992487,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0037:0042,REACT,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0031:0036,REGULATE,FoodPics\burger.jpg,FoodPics\F4H\pretzels.jpg,,,,,,,,,0,4,4,5,0,0,0,3,,,,,,,404.2916530999355,409.29570259992033,409.278893499868,None,411.3416842999868,None,419.28727560001425,424.25825820001774,None,None,0.015735540306195617,None,419.28727560001425,None,424.291276199976,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0031:0036,REGULATE,FoodPics\loadedFries.jpg,FoodPics\F4H\pizza.jpg,,,,,,,,,0,4,4,5,0,1,1,1,,,,,,,,,,,426.37235830002464,None,434.28305500000715,439.25387790007517,None,None,0.015665039885789156,None,434.28305500000715,None,439.28717939998023,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0031:0036,REGULATE,FoodPics\burrito.jpg,FoodPics\F4H\ritz.jpg,,,,,,,,,0,4,4,5,0,2,2,4,,,,,,,,,,,441.3460238999687,None,449.295631099958,454.26663960004225,None,None,0.01578064006753266,None,449.295631099958,None,454.28288810001686,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0031:0036,REGULATE,FoodPics\macarons.jpg,FoodPics\F4H\pretzel.jpg,,,,,,,,,0,4,4,5,0,3,3,2,,,,,,,,,,,456.341613400029,None,464.29126539989375,469.262133799959,None,None,0.01581993978470564,None,464.29126539989375,None,469.29555039992556,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0031:0036,REGULATE,FoodPics\donuts.jpg,FoodPics\F4H\oreos.jpg,,,,,,,,,0,4,4,5,0,4,4,0,,,,,,,,,,,471.33851530007087,None,479.28732110001147,484.25794330006465,None,None,0.015769239980727434,None,479.28732110001147,None,484.29129650001414,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0031:0036,REGULATE,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,004:009,REACT,FoodPics\lambRagu.jpg,FoodPics\F4H\chickenkebab.jpg,,,,,,,,,0,5,5,0,0,0,0,4,,,,,,,486.2930656000972,491.2971675998997,491.2802887998987,None,493.3453416998964,None,501.28864690009505,506.2596010998823,None,None,0.015715040266513824,None,501.28864690009505,None,506.29309229995124,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,004:009,REACT,FoodPics\sushi.jpg,FoodPics\F4H\brownies2.jpg,,,,,,,,,0,5,5,0,0,1,1,2,,,,,,,,,,,508.35511130001396,None,516.2846136000007,521.2549036000855,None,None,0.015774839790537953,None,516.2846136000007,None,521.2882558000274,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,004:009,REACT,FoodPics\chickenWings.jpg,FoodPics\F4H\cheesepuffs.jpg,,,,,,,,,0,5,5,0,0,2,2,3,,,,,,,,,,,523.3504188999068,None,531.2803752999753,536.2510299000423,None,None,0.01577713992446661,None,531.2803752999753,None,536.2845220998861,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,004:009,REACT,FoodPics\milkshake.jpg,FoodPics\F4H\cheese.jpg,,,,,,,,,0,5,5,0,0,3,3,1,,,,,,,,,,,538.3631577999331,None,546.2931862000842,551.26367200003,None,None,0.01578613999299705,None,546.2931862000842,None,551.2802637000568,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,004:009,REACT,FoodPics\hotChoc.jpg,FoodPics\F4H\cakes.jpg,,,,,,,,,0,5,5,0,0,4,4,0,,,,,,,,,,,553.3429946000688,None,561.2884396999143,566.2590973998886,None,None,0.015762940049171448,None,561.2884396999143,None,566.2925152999815,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,004:009,REACT,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0021:0025,REACT,FoodPics\pasta1.jpg,FoodPics\F4H\fries.jpg,,,,,,,,,0,6,6,3,0,0,0,1,,,,,,,568.2942421000917,573.2986457999796,573.2649063998833,None,575.3280452999752,None,583.2900821000803,588.260724300053,None,None,0.01572313974611461,None,583.2900821000803,None,588.294043400092,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0021:0025,REACT,FoodPics\pancakes.jpg,FoodPics\F4H\fruittart.jpg,,,,,,,,,0,6,6,3,0,1,1,2,,,,,,,,,,,590.3527746000327,None,598.2859151999,603.2565063000657,None,None,0.015810939949005842,None,598.2859151999,None,603.2899203998968,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0021:0025,REACT,FoodPics\burgersFries.jpg,FoodPics\F4H\doritos.jpg,,,,,,,,,0,6,6,3,0,2,2,0,,,,,,,,,,,605.3488930999301,None,613.2818386999425,618.2526539000683,None,None,0.01572173973545432,None,613.2818386999425,None,618.2857866999693,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0021:0025,REACT,FoodPics\pancake.jpg,FoodPics\F4H\grapefruit.jpg,,,,,,,,,0,6,6,3,0,3,3,3,,,,,,,,,,,620.3470171999652,None,628.2939786999486,633.2649322999641,None,None,0.015796340070664883,None,628.2939786999486,None,633.2814352998976,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0021:0025,REACT,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0026:0030,REGULATE,FoodPics\pizza.jpg,FoodPics\F4H\marshmallows.jpg,,,,,,,,,0,7,7,4,0,0,0,3,,,,,,,635.2833606998902,640.2873873999342,640.2707134000957,None,642.3332934998907,None,650.2958549999166,655.2663716999814,None,None,0.015702740056440234,None,650.2958549999166,None,655.2829855999444,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0026:0030,REGULATE,FoodPics\waffle.jpg,FoodPics\F4H\kitkat.jpg,,,,,,,,,0,7,7,4,0,1,1,2,,,,,,,,,,,657.3416848999914,None,665.2913382998668,670.2621555000078,None,None,0.015770639991387725,None,665.2913382998668,None,670.2954774000682,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0026:0030,REGULATE,FoodPics\salad.jpg,FoodPics\F4H\icecream.jpg,,,,,,,,,0,7,7,4,0,2,2,1,,,,,,,,,,,672.3377221000846,None,680.2876999999862,685.2580365999602,None,None,0.015797239961102605,None,680.2876999999862,None,685.2912147999741,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0026:0030,REGULATE,FoodPics\strawberries.jpg,FoodPics\F4H\hamburgers.jpg,,,,,,,,,0,7,7,4,0,3,3,0,,,,,,,,,,,687.3497931999154,None,695.2829394000582,700.2537688999437,None,None,0.015723939752206206,None,695.2829394000582,None,700.2873245999217,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0026:0030,REGULATE,,,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\cheetos.jpg,FoodPics\F4H\chips.jpg,,,,,,,,,0,8,8,1,0,0,0,0,,,,,,,702.2886045998894,707.2929114000872,707.2595079999883,None,709.3240656999405,None,717.2845475000795,722.2553363998886,None,None,0.0156652401201427,None,717.2845475000795,None,722.2889680999797,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\chickenBurger.jpg,FoodPics\F4H\chips2.jpg,,,,,,,,,0,8,8,1,0,1,1,1,,,,,,,,,,,724.3486421999987,None,732.2802957000677,737.2510796000715,None,None,0.015804740134626627,None,732.2802957000677,None,737.2843742000405,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\brownie.jpeg,FoodPics\F4H\chocolate1.jpg,,,,,,,,,0,8,8,1,0,2,2,3,,,,,,,,,,,739.3430345999077,None,747.2926554998849,752.2633742999751,None,None,0.015808839816600084,None,747.2926554998849,None,752.2803217000328,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\chocCake.jpeg,FoodPics\F4H\chips3.jpg,,,,,,,,,0,8,8,1,0,3,3,2,,,,,,,,,,,754.3400582999457,None,762.2886023998726,767.2592791998759,None,None,0.01578633999451995,None,762.2886023998726,None,767.292524700053,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\brownies.jpg,FoodPics\F4H\chocolate2.jpg,,,,,,,,,0,8,8,1,0,4,4,4,,,,,,,,,,,769.351190400077,None,777.2842913998757,782.2551158999559,None,None,0.015740539878606796,None,777.2842913998757,None,782.2885366000701,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,,,,,,,,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
