CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,10.074273500125855,None,space,2.678455400047824,10.074273500125855,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REACT,0010:0015,REGULATE,FoodPics\F4H\breadtwists.jpg,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,12.819064300041646,17.819442400010303,17.819442400010303,None,19.86951750004664,None,27.82935640006326,None,None,None,0.012886099983006716,None,27.82935640006326,None,32.798429399961606,None,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REACT,0010:0015,REGULATE,FoodPics\F4H\banana.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,34.857790699927136,None,42.79007350001484,47.761067599989474,None,None,0.015799400163814425,None,42.79007350001484,None,47.79411370004527,None,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REACT,0010:0015,REGULATE,FoodPics\F4H\bagels.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,49.853761499980465,None,57.78591930004768,62.756443599937484,None,None,0.015796200139448047,None,57.78591930004768,None,62.78994149994105,None,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REACT,0010:0015,REGULATE,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.79163350001909,None,space,1.416977999964729,64.79163350001909,None,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REGULATE,0035:0044,REACT,FoodPics\F4H\strawberries.jpg,,,,,,,,,0,0,0,2,0,0,0,7,,,,,,,66.23907320015132,71.24694320000708,71.23018459999003,None,73.29304270003922,None,81.23857109993696,86.20961249992251,None,None,0.015700999880209565,None,81.23857109993696,None,86.2426857999526,None,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REGULATE,0035:0044,REACT,FoodPics\F4H\eclair.jpg,,,,,,,,,0,0,0,2,0,1,1,3,,,,,,,,,,,88.58365719998255,None,96.23443190008402,101.2052899999544,None,None,0.015723900170996785,None,96.23443190008402,None,101.23849690007046,None,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REGULATE,0035:0044,REACT,FoodPics\F4H\mm.jpg,,,,,,,,,0,0,0,2,0,2,2,4,,,,,,,,,,,103.45846220012754,None,111.23027450009249,116.20097150001675,None,None,0.015695200068876147,None,111.23027450009249,None,116.23422820004635,None,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
REGULATE,0035:0044,REACT,FoodPics\F4H\chocbar.jpg,,,,,,,,,0,0,0,2,0,3,3,8,,,,,,,,,,,118.59849030012265,None,126.24283810006455,131.21358420001343,None,None,0.01576310023665428,None,126.24283810006455,None,131.22992089996114,None,,,,,,,1,001,2019_Dec_12_1539,FoodRegPavlovia,3.2.4,59.96476471518713,
