CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,9.286952099995688,None,space,2.3346981001086533,9.286952099995688,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REACT,0010:0015,REGULATE,FoodPics\F4H\banana.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,11.69656620011665,16.705818600021303,16.689007899956778,None,18.758958300109953,None,26.722546700155362,None,None,None,0.009726759977638721,None,26.722546700155362,None,31.669017700012773,None,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REACT,0010:0015,REGULATE,FoodPics\F4H\bagels.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,33.74259259994142,None,41.662476300029084,46.63297959999181,None,None,0.015383190009742975,None,41.662476300029084,None,46.66465310007334,None,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REACT,0010:0015,REGULATE,FoodPics\F4H\breadtwists.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,48.74299510009587,None,56.672956299968064,61.64577189995907,None,None,0.014735389966517687,None,56.672956299968064,None,61.66023540007882,None,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REACT,0010:0015,REGULATE,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.662135400110856,None,space,2.2952330000698566,63.662135400110856,None,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REGULATE,0045:0054,REACT,FoodPics\F4H\watermelon.jpg,,,,,,,,,0,0,0,4,0,0,0,1,,,,,,,66.00094630010426,71.00178429996595,70.98542560008354,None,73.07080480013974,None,80.99216870008968,85.96406759996898,None,None,0.014921789988875389,None,80.99216870008968,None,85.99771389993839,None,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REGULATE,0045:0054,REACT,FoodPics\F4H\cookies2.jpg,,,,,,,,,0,0,0,4,0,1,1,8,,,,,,,,,,,88.07765450002626,None,95.98918609996326,100.96166529995389,None,None,0.014854789711534977,None,95.98918609996326,None,100.993387500057,None,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REGULATE,0045:0054,REACT,FoodPics\F4H\bread.jpg,,,,,,,,,0,0,0,4,0,2,2,6,,,,,,,,,,,103.06684139999561,None,110.98478860012256,115.95720340008847,None,None,0.014621590031310916,None,110.98478860012256,None,115.98921349993907,None,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
REGULATE,0045:0054,REACT,FoodPics\F4H\pretzelsticks.jpg,,,,,,,,,0,0,0,4,0,3,3,3,,,,,,,,,,,118.06676129996777,None,125.9972077999264,130.9683493000921,None,None,0.014040889916941524,None,125.9972077999264,None,130.98494260013103,None,,,,,,,1,001,2019_Dec_12_1324,FoodRegPavlovia,3.2.4,59.769719253465254,
