CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,10.158483900129795,None,space,1.823536799987778,10.158483900129795,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REACT,0010:0015,REGULATE,FoodPics\F4H\bagels.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,12.043147699907422,17.045241399900988,17.045241399900988,None,19.09428509999998,None,27.05419890000485,None,None,None,0.013862170046195388,None,27.05419890000485,None,32.02421470009722,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REACT,0010:0015,REGULATE,FoodPics\F4H\breadtwists.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,34.08335470012389,None,42.015858199913055,46.98695040005259,None,None,0.015742889838293195,None,42.015858199913055,None,47.020041699986905,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REACT,0010:0015,REGULATE,FoodPics\F4H\banana.jpg,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,49.077750500058755,None,57.011775200022385,61.982856899965554,None,None,0.01571769011206925,None,57.011775200022385,None,62.01596280001104,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REACT,0010:0015,REGULATE,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.01768769999035,None,space,1.9003194000106305,64.01768769999035,None,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\cakes.jpg,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,65.94960659998469,70.95664380001836,70.93978759995662,None,73.00396040012129,None,80.94817320001312,85.91882709995843,None,None,0.015734189888462424,None,80.94817320001312,None,85.95229099993594,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\cheese.jpg,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,88.0282483000774,None,95.94404199998826,100.91485249996185,None,None,0.015651090070605278,None,95.94404199998826,None,100.94805520004593,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\brownies2.jpg,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,103.00800590007566,None,110.95665720012039,115.927185599925,None,None,0.01568308984860778,None,110.95665720012039,None,115.94383389991708,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\cheesepuffs.jpg,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,118.00365919992328,None,125.9519835000392,130.92280729999766,None,None,0.015805089846253395,None,125.9519835000392,None,130.95639230008237,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\chickenkebab.jpg,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,132.9996762999799,None,140.94800329999998,145.91874220012687,None,None,0.015812889905646443,None,140.94800329999998,None,145.9520099000074,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\chocballs.jpg,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,148.19044160004705,None,155.94381600013003,160.91435749991797,None,None,0.01568038994446397,None,155.94381600013003,None,160.94771500001661,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\chickennuggs.jpg,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,163.01180330011994,None,170.95640749996528,175.92722050007433,None,None,0.015448689926415682,None,170.95640749996528,None,175.943788100034,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\chips.jpg,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,178.0041994000785,None,185.95223250007257,190.92292680009268,None,None,0.015796089777722955,None,185.95223250007257,None,190.95624570013024,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\chips2.jpg,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,192.99768140004016,None,200.94803810003214,205.91846360010095,None,None,0.01574828987941146,None,200.94803810003214,None,205.95232830010355,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,FoodPics\F4H\chips3.jpg,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,208.01039510010742,None,215.94373150006868,220.91444969992153,None,None,0.015820089727640152,None,215.94373150006868,None,220.94777310010977,None,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
REGULATE,004:0014,REACT,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1639,FoodRegPavlovia,3.2.4,60.06247694682845,
,,,,,,,,,,,,,,,,,,,,,,,,,,222.94949589995667,227.95518229994923,227.93692969996482,None,,,,,,,,,,,,,,,,,,,,,,,,,
