CueType,rows,CueType2,Picture1,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,66.91810450004414,None,space,22.09850070020184,66.91810450004414,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,FoodPics\pasta.jpeg,FoodPics\F4H\breadtwists.jpg,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,89.08194849989377,94.08526539988816,94.06855440000072,None,96.13236719998531,None,104.09188709990121,None,None,None,0.015847250120714307,None,104.09188709990121,None,109.06442709988914,None,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,FoodPics\friedChicken.jpg,FoodPics\F4H\bagels.jpg,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,111.12234369991347,None,119.05653130006976,124.02659749984741,None,None,0.015736449975520372,None,119.05653130006976,None,124.05989929987118,None,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,FoodPics\croissant.jpg,FoodPics\F4H\banana.jpg,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,126.11790289985947,None,134.05163929983974,139.02253569988534,None,None,0.015486249700188637,None,134.05163929983974,None,139.05572850001045,None,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.05733989994042,None,space,26.422949300147593,141.05733989994042,None,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,FoodPics\chickenBurger.jpg,FoodPics\F4H\chips2.jpg,,,,,,,,,0,0,0,1,0,0,0,1,,,,,,,167.49776190007105,172.50006349990144,172.4837070000358,None,174.55718100001104,None,182.5084460999351,187.479209800018,None,None,0.015635150019079447,None,182.5084460999351,None,187.51258229999803,None,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,FoodPics\cheetos.jpg,FoodPics\F4H\chips.jpg,,,,,,,,,0,0,0,1,0,1,1,0,,,,,,,,,,,189.5785471999552,None,197.50447549996898,202.47508560004644,None,None,0.015574950259178877,None,197.50447549996898,None,202.50836799992248,None,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,FoodPics\brownies.jpg,FoodPics\F4H\chocolate2.jpg,,,,,,,,,0,0,0,1,0,2,2,4,,,,,,,,,,,204.57128779985942,None,212.51688669994473,217.48756599985063,None,None,0.015756549779325724,None,212.51688669994473,None,217.5041998999659,None,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
REACT,0010:0015,REGULATE,FoodPics\brownie.jpeg,FoodPics\F4H\chocolate1.jpg,,,,,,,,,0,0,0,1,0,3,3,3,,,,,,,,,,,219.56655210000463,None,227.5127326999791,232.48338470002636,None,None,0.01577074988745153,None,227.5127326999791,None,232.51686550001614,None,,,,,,,1,001,2019_Dec_12_1113,FoodRegPavlovia,3.2.4,60.06143082375037,
